Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Total Population 16 Years and Over,Total Population 16 Years and Over - Margin of Error,All Population in Labor Force,All Population in Labor Force - Margin of Error,All Population in Civilian Labor Force,All Population in Civilian Labor Force - Margin of Error,Employed Population in Civilian Labor Force,Employed Population in Civilian Labor Force - Margin of Error,Unemployed Population in Civilian Labor Force,Unemployed Population in Civilian Labor Force - Margin of Error,Population in Armed Forces,Population in Armed Forces - Margin of Error,Population 16 Years and Over Not in Labor Force,Population 16 Years and Over Not in Labor Force - Margin of Error,Percent Not in Labor Force,Percent Not in Labor Force - Margin of Error,Percent Unemployed,Percent Unemployed - Margin of Error,x,y
53033011200,2483779,139646,Census Tract 112,Washington,King County,34.8,2.6,36.6,3.2,32.7,3.1,3054,425,2349,357,2325,352,2172,347,153,82,24,31,705,221,23.1,6.48426107291976,6.6,3.38323660062138,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,39.1,1.7,41,2.4,36.8,2.2,5254,580,3599,465,3584,466,3454,475,130,81,15,25,1655,344,31.5,5.54765960223378,3.6,2.21028850710504,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,39.1,1.4,40.5,2.5,37.6,1.3,4315,714,3207,666,3187,673,3047,662,140,74,20,32,1108,275,25.7,4.75010325895866,4.4,2.12858125503389,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,40.2,2.5,44.2,3.9,36.4,2.2,3530,414,2937,415,2937,415,2863,416,74,54,0,13,593,166,16.8,4.26993774205991,2.5,1.80381289975447,,
53033011500,1538373,0,Census Tract 115,Washington,King County,37.7,1.7,40,1.8,36,2.5,3592,352,2768,337,2768,337,2671,322,97,76,0,13,824,183,22.9,4.57186856571026,3.5,2.71231387526933,,
53033011700,3515808,0,Census Tract 117,Washington,King County,36.2,2.1,35,4.1,37.4,1.6,4791,740,3137,529,3128,529,2912,514,216,137,9,16,1654,385,34.5,6.01184128108688,6.9,4.22123252148717,,
53033012000,1437048,0,Census Tract 120,Washington,King County,39.5,1.6,40.6,1.9,38.7,2.6,2696,319,1965,230,1965,230,1916,220,49,30,0,13,731,173,27.1,5.55732963565897,2.5,1.49855755150355,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,42.6,2.3,44.5,2.5,40.6,4.8,2186,230,1415,196,1409,195,1372,198,37,30,6,11,771,157,35.3,6.14907714935718,2.6,2.09792417168333,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,38.7,2.2,41.5,2.9,35.2,2.6,2915,421,2253,452,2253,452,2203,451,50,43,0,13,662,192,22.7,5.71189233853117,2.2,1.85590794191266,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,35.8,2.4,39.9,4.1,31.3,3.7,4042,634,2628,519,2628,519,2586,519,42,52,0,13,1414,322,35,5.77529897612877,1.6,1.953356475429,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,39,1.6,41.2,2.6,36.2,2.3,3844,668,2957,596,2957,596,2897,591,60,58,0,13,887,245,23.1,4.95409956048094,2,1.91833700546042,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,36,1.8,36.8,2.4,34.9,2.4,3609,319,2655,323,2655,323,2484,351,171,143,0,13,954,212,26.4,5.3895310989794,6.4,5.32876411828212,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,38.7,2.8,39.4,3.2,38,4.2,2758,244,1674,279,1674,279,1419,260,255,169,0,13,1084,188,39.3,5.862948168787,15.2,9.7711345798745,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,36.6,2.5,42.8,2.4,32.2,3.1,3277,454,2258,457,2258,457,2232,465,26,34,0,13,1019,203,31.1,4.45142659700575,1.2,1.48761373534438,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,39.6,1.6,42.3,4.3,36.6,3.3,3982,718,2883,599,2883,599,2735,559,148,138,0,13,1099,339,27.6,6.90734341107065,5.1,4.66633552482154,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,39.7,2.3,39.2,3.3,40.3,2.2,3099,271,2260,269,2260,269,2203,278,57,44,0,13,839,173,27.1,5.0555608277443,2.5,1.92361900754946,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,36.8,2.6,39.8,2.5,33.5,3.5,3354,472,2123,401,2123,401,2067,386,56,54,0,13,1231,281,36.7,6.59652596575075,2.6,2.49429638261831,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,36.8,2.2,34.7,3.7,38.7,2.5,2757,379,2070,308,2070,308,1914,255,156,121,0,13,687,277,24.9,9.44517396925403,7.5,5.73684909979187,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,39.4,1.7,40.4,2,38.3,2.9,4008,628,2789,575,2768,578,2684,564,84,92,21,33,1219,315,30.4,6.24966975162838,3,3.26273173071654,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,38.7,2.4,42.2,3.9,34.5,3.2,3777,680,2892,623,2830,634,2756,624,74,62,62,102,885,359,23.4,8.51747215324736,2.6,2.11104256950427,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,39.7,1.2,39.7,1.3,39.8,1.6,4052,547,3428,527,3428,527,3247,527,181,116,0,13,624,202,15.4,4.53104073093427,5.3,3.28509782084066,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,37.9,2.7,38.3,3.2,37.5,4,3334,673,2732,385,2732,385,2622,308,110,132,0,13,602,335,18.1,9.36360702395109,4,4.79819290527247,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,42.7,2.1,43.9,3.4,41.7,2.3,3253,501,2009,286,2009,286,1970,283,39,47,0,13,1244,423,38.2,11.5930959827151,1.9,2.32309226985018,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,40.2,1.5,39.6,2.5,40.6,1.8,3800,487,3240,477,3240,477,3057,470,183,89,0,13,560,207,14.7,5.10948643409786,5.6,2.61803117194771,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,41.7,3.3,45.3,2,35.2,6.6,3071,491,1842,317,1821,311,1821,311,0,13,21,34,1229,317,40,8.1000844085186,0,0.71389346512905,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,38.7,2.1,40.3,3.5,36.9,3,3077,394,2161,374,2161,374,2082,388,79,59,0,13,916,200,29.8,5.26475326045028,3.7,2.65589801283393,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,39,2.3,42.8,2.6,35.3,3.6,2835,428,1998,412,1998,412,1942,399,56,47,0,13,837,180,29.5,4.52169214828993,2.8,2.28024762317815,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,39,2.1,42.7,2.3,34.8,3.1,3792,442,3091,464,3091,464,2973,466,118,73,0,13,701,157,18.5,3.53538597151016,3.8,2.29111409940743,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,33.3,2.8,35.5,5.6,31.4,2.6,3520,780,2798,716,2798,716,2539,668,259,191,0,13,722,184,20.5,2.5818903655495,9.3,6.40214844417915,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,35.2,2.7,36.9,3.9,33,3.1,3179,608,2282,447,2282,447,2232,445,50,47,0,13,897,452,28.2,13.1543789852816,2.2,2.014382770644,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,39.8,1.4,40.4,1.8,38.9,2.5,3170,440,2485,414,2485,414,2112,318,373,321,0,13,685,187,21.6,5.07964897374892,15,12.6731442694964,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,38.9,2,41.4,2.2,36.5,3,3103,440,2653,458,2653,458,2491,458,162,123,0,13,450,163,14.5,4.83375053864331,6.1,4.5148271291788,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,42.5,1.8,43.4,3.6,41.5,1.6,3454,503,2941,474,2941,474,2902,483,39,60,0,13,513,211,14.9,5.7131369707654,1.3,2.02889663897903,,
53033004901,497144,0,Census Tract 49.01,Washington,King County,39.6,1.6,39.1,2.5,40.2,1.8,3809,513,3128,471,3128,471,3058,466,70,70,0,13,681,225,17.9,5.39400524663056,2.2,2.21233684238614,,
53033004902,597604,17368,Census Tract 49.02,Washington,King County,41.4,1.7,41.9,1.9,41,2.4,3082,472,2643,490,2643,490,2556,489,87,61,0,13,439,114,14.2,2.98717283208487,3.3,2.22583903772337,,
53033005201,699701,73218,Census Tract 52.01,Washington,King County,38.2,2.1,40.5,2.2,35.8,3.4,3397,721,2707,628,2707,628,2583,538,124,135,0,13,690,233,20.3,5.33476923997534,4.6,4.87253239613782,,
53033005202,269234,19268,Census Tract 52.02,Washington,King County,36,3.4,37.8,4.6,33.4,4.4,2963,653,2174,614,2174,614,2087,614,87,60,0,13,789,215,26.6,4.26762130144268,4,2.51784842579304,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,21.4,2.8,22.9,5.2,20.3,1.8,3693,1043,1183,298,1183,298,962,272,221,92,0,13,2510,902,68,15.1027566049209,18.7,6.19145336425206,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,21.2,1.9,22.6,2.9,20.2,2.4,3507,420,1122,197,1122,197,937,201,185,99,0,13,2385,320,68,4.11400849202136,16.5,8.33507675602863,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,31.9,2.7,32.9,3.5,30.8,4.1,2019,385,1373,294,1373,294,1311,287,62,66,0,13,646,214,32,8.66716458207803,4.5,4.70873717882727,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,29.6,2.5,30.2,4.8,29.1,4.1,3448,775,1685,349,1685,349,1660,342,25,29,0,13,1763,647,51.1,14.8332704942514,1.5,1.6934111419561,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,22.8,2,25.3,3.4,21.2,2.3,3190,485,1631,440,1631,440,1408,423,223,114,0,13,1559,299,48.9,5.71353651941859,13.7,5.93710066578702,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,41.2,1.8,43,1.7,38.9,3.5,2955,374,2575,326,2575,326,2527,317,48,47,0,13,380,197,12.9,6.46494034025786,1.9,1.80992180461155,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,39.3,1.9,40.7,3.1,38.3,2,2892,496,2463,510,2463,510,2361,510,102,75,0,13,429,184,14.8,5.83156725155774,4.1,2.92183190644672,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,40.5,1.5,41.2,2.3,39.3,1.8,2844,364,2267,390,2267,390,2194,388,73,51,0,13,577,147,20.3,4.46917388385493,3.2,2.180397020777,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,43.8,2.1,46.7,3.9,40.9,2.3,2181,272,1819,280,1630,290,1561,286,69,54,189,90,362,116,16.6,4.89932031008013,4.2,3.2261411645377,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,32.2,2.7,36.6,2.6,28.4,3.2,3788,578,2757,511,2757,511,2590,512,167,76,0,13,1031,259,27.2,5.43157480115665,6.1,2.51763682427944,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,44.1,2.1,46.4,3.1,41.9,2,3160,441,2558,409,2558,409,2500,413,58,70,0,13,602,217,19.1,6.33154754730692,2.3,2.71239212867588,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,41.9,1.3,42.4,1.6,41.2,1.5,3288,554,3020,526,3000,533,2896,535,104,108,20,37,268,175,8.2,5.1421482189189,3.5,3.54692169397773,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,43,2.4,43.7,3.5,42.1,2.4,2771,560,2339,461,2339,461,2185,484,154,155,0,13,432,261,15.6,8.87641246374869,6.6,6.49846687951183,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,43.4,2.1,42,2.4,44.4,2.9,2825,483,2042,444,2042,444,2027,445,15,36,0,13,783,281,27.7,8.74552878836072,0.7,1.75572739529095,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,40,2.8,39,4.1,40.9,3.5,3543,571,2634,607,2634,607,2363,513,271,352,0,13,909,310,25.7,7.71099893850968,10.3,13.1516962081965,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,41.9,2.2,45.8,4.1,39.5,2.3,3390,409,2811,388,2811,388,2791,383,20,29,0,13,579,179,17.1,4.86154790654697,0.7,1.02697643264751,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,41.5,2,40.9,2.9,42.2,2.1,2700,478,2384,412,2384,412,2311,415,73,51,0,13,316,148,11.7,5.07479070580241,3.1,2.07277687814269,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,41.5,1.5,41.6,2,41.3,2.1,2538,379,2049,374,2049,374,2036,372,13,22,0,13,489,153,19.3,5.2974663194133,0.6,1.06743094351597,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,43,1.8,45.3,2.6,40.3,1.4,5199,778,3613,492,3613,492,3394,472,219,132,0,18,1586,775,30.5,14.1905121676927,6.1,3.55901057118312,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,42,2.8,44.3,5.1,37.8,4.3,3454,584,3028,556,3028,556,2943,541,85,93,0,13,426,146,12.3,3.67678201420579,2.8,3.02777323144826,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,42.4,3.1,42.6,4.6,42.2,2.6,2855,544,2384,448,2384,448,2384,448,0,13,0,13,471,344,16.5,11.6317652456194,0,0.545302013422819,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,42.7,2.4,44.6,2.7,39.4,3.9,2658,462,2290,398,2290,398,2087,388,203,186,0,13,368,198,13.8,7.04979766004323,8.9,7.97481248364915,,
53033007302,312981,0,Census Tract 73.02,Washington,King County,42.1,2.1,45.5,2.7,37.2,4.4,4392,564,3948,547,3908,556,3725,565,183,143,40,65,444,181,10.1,3.91131898838707,4.7,3.5980007976634,,
53033007303,313527,0,Census Tract 73.03,Washington,King County,40.8,2.6,40.9,2.6,40.6,4.2,2625,400,1910,326,1910,326,1810,328,100,72,0,13,715,229,27.2,7.67317711713486,5.2,3.66218343171532,,
53033007403,118559,0,Census Tract 74.03,Washington,King County,41.1,1.2,41.8,1.3,40.2,2.4,2692,516,2476,530,2476,530,2339,525,137,87,0,13,216,105,8,3.58441986651398,5.5,3.30810050173675,,
53033007404,153725,0,Census Tract 74.04,Washington,King County,43.8,2.3,46,3.3,40.5,3.7,3003,377,2719,381,2702,383,2636,390,66,52,17,27,284,131,9.5,4.19762937102783,2.4,1.89309862873877,,
53033007405,131830,0,Census Tract 74.05,Washington,King County,38.2,2.3,41.1,1.4,33.8,4.3,2548,465,2172,347,2172,347,1986,287,186,176,0,13,376,300,14.8,11.4618164059423,8.6,7.98680085467529,,
53033007406,150829,0,Census Tract 74.06,Washington,King County,40.3,2.2,41.2,2.2,39.1,3.4,2414,355,1930,346,1930,346,1884,338,46,51,0,13,484,184,20,7.02882754908501,2.4,2.60771239213995,,
53033007501,298283,0,Census Tract 75.01,Washington,King County,41.7,2.8,42.9,3,39.9,6.5,3779,732,3016,673,3016,673,2901,688,115,184,0,13,763,349,20.2,8.36625933075753,3.8,6.04117309621273,,
53033007502,315931,0,Census Tract 75.02,Washington,King County,40.4,1.7,41.2,1.3,38.6,4.3,2247,553,1987,512,1987,512,1919,494,68,115,0,13,260,226,11.6,9.64630090969706,3.4,5.72004561476389,,
53033007503,187541,0,Census Tract 75.03,Washington,King County,39.4,6,45,3.2,32.8,10.5,2275,479,2004,460,2004,460,1854,472,150,145,0,13,271,173,11.9,7.17888217901626,7.5,7.02858026358339,,
53033007901,267231,0,Census Tract 79.01,Washington,King County,38.6,2.3,38.8,2.4,38.4,3.7,2922,404,2327,421,2327,421,2162,407,165,114,0,13,595,195,20.4,6.05056659181988,7.1,4.72806834827506,,
53033007902,431244,0,Census Tract 79.02,Washington,King County,41.4,2.1,42.7,2.3,39.7,3.2,3330,403,2679,400,2679,400,2514,377,165,105,0,13,651,184,19.5,4.99338752925676,6.2,3.80996345665079,,
53033008003,197152,0,Census Tract 80.03,Washington,King County,40.1,3.4,41.3,3.3,38.2,5.2,4014,639,3265,646,3265,646,3174,651,91,114,0,13,749,234,18.7,5.0160133369972,2.8,3.44775480980936,,
53033008004,284626,526767,Census Tract 80.04,Washington,King County,41.3,1.8,43.5,2,38,2.8,3062,439,2633,446,2633,446,2558,410,75,118,0,13,429,158,14,4.75300553031682,2.8,4.45553091041962,,
53033008101,270324,277671,Census Tract 81.01,Washington,King County,43.1,2.4,45.1,3.5,40,2.4,2525,298,1488,195,1488,195,1428,202,60,48,0,13,1037,287,41.1,10.2810642516083,4,3.18223170104012,,
53033008102,556705,91220,Census Tract 81.02,Washington,King County,40.8,2.8,43,3.2,37.1,4.8,2537,557,1653,413,1653,413,1542,411,111,79,0,13,884,351,34.8,11.527790403126,6.7,4.47502009198265,,
53033008401,250921,0,Census Tract 84.01,Washington,King County,41.6,2.2,41.8,2.9,41.4,2.7,2937,400,2094,312,2094,312,1923,296,171,243,0,13,843,274,28.7,8.47074926685098,8.2,11.5406208149088,,
53033008402,145446,0,Census Tract 84.02,Washington,King County,40.5,1.8,40,2.7,41.5,2.5,2574,473,2288,478,2288,478,2211,475,77,76,0,13,286,174,11.1,6.44417969058781,3.4,3.24641667125001,,
53033009801,1004708,0,Census Tract 98.01,Washington,King County,38.9,2.4,41.9,2.3,36,3.8,2724,411,2106,326,2106,326,1906,296,200,145,0,13,618,272,22.7,9.3802507914658,9.5,6.72632386206638,,
53033009802,922319,0,Census Tract 98.02,Washington,King County,39.8,1.6,44.6,2.4,33.2,3.6,3254,602,2503,592,2503,592,2381,525,122,146,0,13,751,191,23.1,4.02774043661103,4.9,5.71794630032873,,
53033010101,871622,0,Census Tract 101.01,Washington,King County,37.3,1.6,37.8,2.9,37,2.7,3233,502,2170,394,2146,396,2087,385,59,54,24,39,1063,285,32.9,7.18649052086445,2.7,2.46463640924343,,
53033010102,1623225,2170065,Census Tract 101.02,Washington,King County,40.3,2.1,42.2,3.2,38.1,2.3,3906,615,2948,508,2948,508,2875,491,73,56,0,13,958,294,24.5,6.46075733548025,2.5,1.8510464451288,,
53033010301,1002658,0,Census Tract 103.01,Washington,King County,39.2,1.2,40.4,1.4,37.5,2.2,3312,615,2309,407,2309,407,2253,413,56,54,0,13,1003,363,30.3,9.40758583249843,2.4,2.29927045913168,,
53033010302,632167,0,Census Tract 103.02,Washington,King County,41,1.1,43.1,1.6,38.8,1.3,2809,617,2448,629,2448,629,2389,638,59,91,0,13,361,134,12.9,3.845518446775,2.4,3.66537514675751,,
53033010501,742016,0,Census Tract 105.01,Washington,King County,44.8,4.2,47.3,6.5,42.5,4.1,3614,425,2816,417,2769,417,2661,433,108,89,47,57,798,236,22.1,5.99168918259717,3.9,3.16003110829834,,
53033010502,975912,0,Census Tract 105.02,Washington,King County,40,2.6,41.8,3.1,38,3.8,5387,968,4045,837,4045,837,4045,837,0,18,0,18,1342,448,24.9,7.0087450978419,0,0.444993819530284,,
53033010601,1089233,0,Census Tract 106.01,Washington,King County,40,1.2,42.3,1.9,37,1.6,3863,590,3056,550,3036,546,2951,546,85,69,20,28,807,224,20.9,4.84186756467919,2.8,2.21625066577645,,
53033010602,1505061,817134,Census Tract 106.02,Washington,King County,37.7,1.8,38.2,2.8,37.1,2.2,3331,533,2589,518,2589,518,2431,462,158,168,0,13,742,145,22.3,2.49886780426721,6.1,6.37307822879795,,
53033011601,1554538,184845,Census Tract 116.01,Washington,King County,40.7,2,44.2,2,37,2.9,2663,291,1755,248,1755,248,1710,247,45,34,0,13,908,182,34.1,5.72942546140576,2.6,1.90313684178587,,
53033011602,1565825,786358,Census Tract 116.02,Washington,King County,37.2,2.9,42.6,2.8,33,3.5,2770,520,2009,417,2009,417,1957,416,52,51,0,13,761,192,27.5,4.63097501643977,2.6,2.48107405886769,,
53033011801,1160802,630417,Census Tract 118.01,Washington,King County,36.5,2.5,38.8,3.3,34.3,3.3,2586,467,2087,438,2087,438,1969,341,118,173,0,13,499,220,19.3,7.76093444078896,5.7,8.20403952755325,,
53033011802,1139611,1037832,Census Tract 118.02,Washington,King County,40.1,2.1,41.8,2.5,38.4,2.7,3349,370,2395,395,2395,395,2191,341,204,167,0,13,954,224,28.5,5.90188310927009,8.5,6.82988283743638,,
53033011901,1682374,0,Census Tract 119.01,Washington,King County,36.9,3.2,37.5,3.9,36.2,3.8,3669,1026,2470,553,2470,553,2330,564,140,70,0,13,1199,580,32.7,12.8990698121342,5.7,2.53402020681198,,
53033011902,1580686,1217487,Census Tract 119.02,Washington,King County,41.1,2.5,43.9,3.3,38.2,2.5,2596,536,1966,507,1966,507,1959,509,7,18,0,13,630,147,24.3,2.63775057420906,0.4,0.910948711860413,,
