Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,1127,114,0,13,21,24,15,20,0,13,17,18,19,20,48,49,55,51,9,15,53,43,92,71,107,50,263,115,121,52,155,56,152,59,329,119,29.2,10.137693327997,9.5,4.33136469692759,691,150,61.3,11.7763309749001,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,2546,435,54,54,41,35,52,38,80,78,14,22,83,60,83,91,52,45,93,60,289,178,252,152,441,384,210,132,166,89,172,92,464,191,1093,291,42.9,8.76570187438657,17.3,14.7892841997468,1012,265,39.7,7.88763396565824,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,1263,87,51,41,10,15,0,13,0,13,28,25,10,14,17,24,10,16,38,30,27,24,79,61,86,58,163,76,110,52,202,97,432,99,270,95,21.4,7.3762193122287,6.8,4.56822448649547,907,166,71.8,12.1768741934173,,
53033000700,1294438,0,Census Tract 7,Washington,King County,2345,234,83,56,63,40,171,116,31,31,43,42,89,84,54,56,77,47,94,68,56,48,342,136,285,132,290,165,100,83,294,135,273,108,1103,242,47,9.1907039399889,12.2,5.49680171567605,957,253,40.8,9.99083724750684,,
53033000800,1141931,0,Census Tract 8,Washington,King County,1144,127,9,14,0,13,16,18,8,11,10,15,17,15,55,46,24,34,26,23,59,36,36,30,262,84,97,52,89,57,126,79,310,113,260,85,22.7,6.98857513403106,22.9,6.88843586734598,622,158,54.4,12.4224330984441,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,892,111,9,8,0,13,5,8,5,7,36,35,8,9,37,54,27,19,12,12,23,25,67,36,135,72,90,40,54,25,105,39,279,48,229,84,25.7,8.85858925055687,15.1,7.84896095319359,528,78,59.2,4.71249521219139,,
53033001000,954203,0,Census Tract 10,Washington,King County,769,81,71,33,12,13,0,13,8,9,9,12,28,20,29,16,4,6,3,6,62,58,40,25,69,35,70,32,103,38,129,42,132,44,266,80,34.6,9.74423554107995,9,4.45215655593623,434,79,56.4,8.37842679524041,,
53033001100,1060685,0,Census Tract 11,Washington,King County,1076,153,24,23,0,13,9,15,7,11,30,46,0,13,25,25,21,24,22,28,92,70,24,24,132,77,108,54,167,78,144,57,271,126,254,104,23.6,9.06386632390031,12.3,6.94027331652411,690,168,64.1,12.6741282064765,,
53033001300,1180877,0,Census Tract 13,Washington,King County,2410,220,57,45,119,71,27,31,163,108,7,20,120,107,64,57,85,84,67,63,253,117,68,46,457,143,375,173,200,116,155,161,193,101,1030,248,42.7,9.52219498044742,19,5.67549641025918,923,282,38.3,11.1667386417108,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,2248,232,39,42,0,18,81,93,43,42,149,110,0,18,50,40,12,20,35,41,170,110,166,78,309,116,182,87,242,114,217,128,553,179,745,216,33.1,8.97921394479518,13.7,4.96132035621639,1194,263,53.1,10.3356888877889,,
53033001500,1167711,526885,Census Tract 15,Washington,King County,1124,128,75,53,8,13,8,13,34,38,0,13,0,13,37,58,9,14,10,17,0,13,48,34,134,63,43,29,143,84,163,86,412,81,229,101,20.4,8.68106900202145,11.9,5.43807504647156,761,148,67.7,10.673825118293,,
53033001600,2020358,320118,Census Tract 16,Washington,King County,1841,239,23,26,8,12,25,28,21,30,20,23,43,51,24,23,29,21,0,13,28,25,112,56,107,57,151,86,49,24,284,98,917,220,333,103,18.1,5.07814870532384,5.8,3.00279782099853,1401,257,76.1,9.86278584416674,,
53033001701,892768,0,Census Tract 17.01,Washington,King County,2142,217,35,39,36,51,96,112,97,98,66,64,33,33,15,23,72,53,51,47,159,90,68,57,347,152,303,123,343,167,246,115,175,86,728,220,34,9.67645297273653,16.2,6.90378563779668,1067,252,49.8,10.6274049215015,,
53033001702,1280220,0,Census Tract 17.02,Washington,King County,2276,223,101,60,13,22,38,41,42,43,46,54,12,20,101,112,13,20,61,51,63,54,305,151,401,160,247,139,237,125,174,96,422,156,795,228,34.9,9.41483714520156,17.6,6.81463257522184,1080,262,47.5,10.5307752232126,,
53033001800,946085,0,Census Tract 18,Washington,King County,2318,239,19,32,0,18,37,45,23,37,44,41,77,70,22,35,212,190,11,18,104,90,122,88,418,160,280,119,269,110,297,134,383,128,671,255,28.9,10.5882406916538,18,6.64737344843999,1229,246,53,9.09630293101301,,
53033001900,1667272,0,Census Tract 19,Washington,King County,2261,153,99,51,24,35,17,18,66,62,26,24,42,25,37,45,25,22,50,32,112,46,183,75,272,90,184,66,219,111,316,96,589,98,681,143,30.1,5.98723054143666,12,3.89640772630857,1308,188,57.9,7.33572070845686,,
53033002000,1103313,28680,Census Tract 20,Washington,King County,1516,122,43,37,43,33,9,13,14,20,28,25,4,6,19,21,31,32,29,28,54,40,141,82,196,76,142,58,139,65,161,53,463,113,415,119,27.4,7.5341348917098,12.9,4.9040373657295,905,152,59.7,8.80052497206017,,
53033002100,1365468,0,Census Tract 21,Washington,King County,1829,234,83,73,24,39,11,18,10,16,56,57,45,33,16,25,89,87,0,13,72,72,98,49,171,79,135,69,220,84,257,139,542,138,504,166,27.6,8.36329393382179,9.3,4.15037182088819,1154,224,63.1,9.21037824450168,,
53033002200,2804076,1154953,Census Tract 22,Washington,King County,2338,192,115,88,112,96,29,32,13,21,47,41,15,24,51,65,43,39,43,39,58,44,65,47,265,105,93,57,228,116,313,169,848,164,591,179,25.3,7.36932087769502,11.3,4.39350052617097,1482,269,63.4,10.2606501417531,,
53033002400,962528,0,Census Tract 24,Washington,King County,1363,242,8,13,8,13,5,8,15,16,0,13,45,33,38,39,21,24,10,16,23,20,78,41,133,87,118,50,151,67,189,95,521,220,251,80,18.4,4.87437215841992,9.8,6.14335679976688,979,254,71.8,13.5883131934573,,
53033002500,984334,0,Census Tract 25,Washington,King County,1299,129,28,21,14,16,45,30,20,15,20,20,6,11,26,20,28,29,7,10,33,26,57,37,116,75,150,65,99,45,140,59,510,122,284,76,21.9,5.43288742269401,8.9,5.70516093697958,899,157,69.2,9.94192662640471,,
53033002600,1216627,28175,Census Tract 26,Washington,King County,1874,202,0,18,8,12,36,42,87,75,62,50,52,80,88,78,8,13,7,13,97,76,97,59,163,69,128,56,79,53,408,165,554,122,542,180,28.9,9.08511704574747,8.7,3.56059476503933,1169,219,62.4,9.55803668974952,,
53033002700,1584847,0,Census Tract 27,Washington,King County,2376,224,83,79,60,80,10,18,14,24,108,84,88,105,30,26,16,25,24,28,61,48,146,109,156,91,164,95,104,91,315,106,997,181,640,219,26.9,8.86045050682925,6.6,3.77961642633379,1580,248,66.5,8.34523283313888,,
53033002800,988287,0,Census Tract 28,Washington,King County,2226,288,30,35,52,84,11,18,35,40,0,13,74,78,54,53,0,13,14,22,212,217,99,63,236,124,236,130,268,136,242,81,663,161,581,266,26.1,11.4626142528836,10.6,5.39900803277226,1409,261,63.3,8.39110244754128,,
53033002900,986209,0,Census Tract 29,Washington,King County,2095,268,74,60,65,64,56,47,24,33,0,13,48,45,26,28,47,41,0,13,88,79,128,81,226,162,219,84,104,68,369,222,621,145,556,169,26.5,7.31761983699534,10.8,7.60856330579977,1313,286,62.7,11.049288123242,,
53033003000,1493249,0,Census Tract 30,Washington,King County,2641,249,34,38,0,18,0,18,0,18,13,23,34,46,137,95,0,18,94,76,103,63,254,125,289,133,349,188,190,93,397,138,747,181,669,199,25.3,7.14651136503572,10.9,4.92915481269127,1683,310,63.7,10.0837137115994,,
53033003100,2236733,472744,Census Tract 31,Washington,King County,2697,247,105,92,20,34,20,31,0,18,0,18,83,68,70,67,0,18,0,18,70,54,150,101,233,108,263,122,181,135,468,167,1034,221,518,185,19.2,6.63010633939693,8.6,3.92550683418842,1946,331,72.2,10.3419885221008,,
53033003400,787161,0,Census Tract 34,Washington,King County,1524,136,11,17,16,18,39,31,49,48,18,20,23,25,0,13,8,12,7,12,56,38,104,59,157,52,153,73,161,65,226,70,496,136,331,101,21.7,6.33754438792978,10.3,3.28589238682859,1036,182,68,10.2867239939495,,
53033003500,1284745,0,Census Tract 35,Washington,King County,1853,166,77,51,0,13,103,119,34,25,47,36,87,78,41,29,61,38,41,37,70,41,138,55,184,64,135,47,98,44,276,81,461,100,699,182,37.7,9.22224766491645,9.9,3.33733769962343,970,144,52.3,6.19674187792448,,
53033003800,624606,0,Census Tract 38,Washington,King County,941,111,46,53,25,24,6,9,22,20,24,25,6,9,7,10,7,10,23,19,34,25,47,28,141,71,58,32,86,41,90,37,319,89,247,81,26.2,8.03170916796109,15,7.33521677551502,553,110,58.8,9.41243801574812,,
53033003900,973808,0,Census Tract 39,Washington,King County,1142,142,10,16,30,29,29,23,12,18,22,18,74,47,12,13,7,11,7,11,35,22,15,15,167,56,81,47,46,25,202,84,393,132,253,75,22.2,5.96176353425805,14.6,4.55408970438822,722,165,63.2,12.1224864432272,,
53033004000,2574586,3232248,Census Tract 40,Washington,King County,1389,143,78,46,47,36,8,13,8,13,18,19,87,92,24,24,22,22,9,14,64,43,107,64,149,75,67,38,94,63,76,42,531,135,472,141,34,9.52930130427207,10.7,5.28542181969281,768,159,55.3,9.93140041590961,,
53033004301,979236,0,Census Tract 43.01,Washington,King County,1340,101,92,63,79,57,40,40,28,24,28,45,45,33,24,36,8,12,11,12,73,55,128,61,101,45,78,34,72,35,96,47,437,90,556,144,41.5,10.28112435461,7.5,3.30980624043814,683,113,51,7.50689330766518,,
53033004302,331137,0,Census Tract 43.02,Washington,King County,1479,180,288,102,117,63,60,39,35,26,114,65,59,52,74,57,74,47,100,75,49,39,189,111,149,66,22,25,70,50,50,37,29,31,1159,220,78.4,11.4151421409207,10.1,4.29073219263746,171,74,11.6,4.8014394760713,,
53033004500,670997,0,Census Tract 45,Washington,King County,1005,122,0,13,8,14,30,37,13,16,15,17,54,31,31,31,47,56,0,13,22,33,91,53,94,49,101,58,48,28,105,52,346,103,311,107,30.9,9.96202951122462,9.4,4.74157316258632,600,132,59.7,10.953837985585,,
53033004600,1552358,1033232,Census Tract 46,Washington,King County,1363,155,22,23,0,13,29,27,12,18,0,13,20,19,19,20,0,13,28,26,59,46,82,39,189,56,174,125,131,55,185,65,413,99,271,85,19.9,5.81191946075612,13.9,3.79392619548353,903,181,66.3,10.935456940611,,
53033004800,1278329,26886,Census Tract 48,Washington,King County,2340,419,91,80,0,18,0,18,0,18,33,37,43,32,16,26,51,44,111,95,41,42,323,354,179,82,256,100,134,84,253,100,809,201,709,385,30.3,15.5327524615663,7.6,3.22548745337942,1452,260,62.1,0.0697856884444249,,
53033005000,757380,0,Census Tract 50,Washington,King County,2328,313,32,38,150,158,17,27,33,38,63,58,52,51,0,13,166,183,30,25,73,52,168,94,341,159,125,78,292,255,339,134,447,139,784,283,33.7,11.2816386711108,14.6,6.53979940694178,1203,329,51.7,12.3065339962232,,
53033005100,881731,0,Census Tract 51,Washington,King County,1604,132,76,47,0,13,41,31,0,13,20,23,43,43,38,29,9,13,18,20,138,75,55,37,183,85,101,44,106,50,272,74,504,96,438,120,27.3,7.1358215675606,11.4,5.2154146087057,983,138,61.3,6.97027461553389,,
53033005600,3022785,1546484,Census Tract 56,Washington,King County,2774,217,85,64,0,18,19,29,38,41,34,37,21,33,22,36,75,95,7,14,69,55,254,111,118,86,190,91,150,77,535,197,1157,198,624,188,22.5,6.54478642839902,4.3,3.08230644479978,2032,304,73.3,9.34142787760858,,
53033005700,5085640,2365806,Census Tract 57,Washington,King County,2989,501,80,75,45,40,171,132,23,26,53,50,47,58,32,37,20,26,42,41,111,66,122,67,259,130,213,101,244,101,575,412,952,257,746,209,25,5.60284495496619,8.7,4.09960759702355,1984,506,66.4,12.7593443901981,,
53033005801,1822365,260223,Census Tract 58.01,Washington,King County,3153,374,51,46,14,23,31,30,49,42,38,40,21,34,40,60,103,62,92,59,62,57,118,75,497,193,478,147,280,131,632,222,647,282,619,167,19.6,4.75715299862508,15.8,5.82860386705303,2037,409,64.6,10.4661852346386,,
53033006000,1340653,160754,Census Tract 60,Washington,King County,3076,470,92,86,34,52,44,70,0,18,144,132,46,44,0,18,67,62,85,117,80,65,438,383,399,213,272,113,324,134,231,125,820,214,1030,451,33.5,13.7402318114248,13,6.63487365049867,1647,304,53.5,5.54440360330501,,
53033006100,1227451,652743,Census Tract 61,Washington,King County,3065,259,188,119,84,82,0,18,41,38,36,39,33,38,0,18,87,60,71,58,144,111,359,164,303,119,141,81,296,136,281,132,1001,260,1043,269,34,8.2920587609232,9.9,3.79160959697013,1719,332,56.1,9.74015626947578,,
53033006200,2437426,239356,Census Tract 62,Washington,King County,1632,147,0,13,0,13,74,67,56,47,0,13,8,13,31,45,30,49,42,39,8,13,80,39,88,50,185,93,78,44,115,50,837,145,329,123,20.2,7.314753448096,5.4,3.0249824000435,1215,185,74.4,9.13956737006463,,
53033006300,2610569,3533560,Census Tract 63,Washington,King County,2648,378,97,118,24,37,0,18,42,39,32,34,116,102,0,18,65,57,123,99,104,71,97,66,238,103,276,132,171,96,133,78,1130,362,700,227,26.4,7.69726957760831,9,3.67203610122934,1710,405,64.6,12.2043490228199,,
53033006400,903649,0,Census Tract 64,Washington,King County,1460,231,60,81,0,13,13,18,10,15,153,179,10,15,0,13,18,19,41,31,49,37,48,32,61,49,88,46,77,49,228,88,604,149,402,208,27.5,13.5641545419434,4.2,3.2904177025407,997,186,68.3,6.75019589837529,,
53033006500,1147619,0,Census Tract 65,Washington,King County,2665,352,46,41,16,19,60,50,29,32,93,85,49,45,56,67,30,34,47,54,157,92,177,103,197,78,404,185,229,221,305,148,770,233,760,206,28.5,6.74997841174323,7.4,2.75917216393951,1708,399,64.1,12.3489786196956,,
53033006600,1117109,831139,Census Tract 66,Washington,King County,2351,208,45,41,15,22,0,13,0,13,63,62,58,72,63,61,35,39,64,51,176,119,63,57,284,132,209,118,276,126,304,147,696,203,582,192,24.8,7.86757181392096,12.1,5.51197471103117,1485,304,63.2,11.6607195320618,,
53033006800,718106,0,Census Tract 68,Washington,King County,1537,186,30,28,8,13,22,32,16,17,15,18,8,12,13,20,31,39,9,13,19,17,169,144,178,75,146,94,128,62,163,72,582,149,340,161,22.1,10.1271128071676,11.6,4.67404677311454,1019,200,66.3,10.2446209362388,,
53033006900,905121,0,Census Tract 69,Washington,King County,2142,191,59,67,10,17,55,78,0,13,7,12,54,39,74,70,41,37,65,60,49,46,119,97,218,89,190,84,128,74,161,68,912,179,533,185,24.9,8.34691292155991,10.2,4.054677998099,1391,222,64.9,8.59562539714116,,
53033007600,571882,0,Census Tract 76,Washington,King County,2219,191,88,61,92,89,73,72,14,24,47,49,32,34,13,22,79,71,108,82,61,49,125,68,280,119,240,115,212,112,229,118,526,206,732,201,33,8.60159771710519,12.6,5.25163932180365,1207,287,54.4,12.0565919651995,,
53033007700,1058322,0,Census Tract 77,Washington,King County,2537,201,60,58,80,101,0,18,0,18,91,88,14,22,84,96,32,37,73,63,158,117,191,111,274,151,189,113,220,122,381,143,690,140,783,251,30.9,9.5866446797945,10.8,5.89008352287015,1480,260,58.3,9.14694299053621,,
53033007800,2097740,3632914,Census Tract 78,Washington,King County,2231,145,33,38,63,75,0,18,37,43,38,41,39,47,37,46,0,18,94,103,101,80,52,48,64,46,128,93,237,123,348,127,960,177,494,187,22.1,8.25742397169844,2.9,2.05340871999388,1673,267,75,10.9303655863164,,
53033008002,234314,0,Census Tract 80.02,Washington,King County,2744,415,275,114,273,184,74,52,43,38,67,70,33,37,74,74,59,56,49,57,121,62,82,65,187,77,456,373,148,75,325,152,478,154,1150,278,41.9,7.90355360409304,6.8,2.60998725659716,1407,438,51.3,13.9517292767364,,
53033008200,375785,0,Census Tract 82,Washington,King County,2856,278,282,142,33,36,57,51,54,51,22,40,64,44,109,76,58,81,23,36,95,71,212,121,217,122,329,141,347,194,418,155,536,150,1009,252,35.3,8.1258007353114,7.6,4.20719728925482,1630,323,57.1,9.85102867148718,,
53033008300,237955,0,Census Tract 83,Washington,King County,2055,260,223,114,71,71,73,77,63,79,46,45,15,23,43,62,28,32,60,74,98,57,195,105,104,71,319,139,210,149,211,99,296,96,915,240,44.5,10.2303418710275,5.1,3.3951373651981,1036,246,50.4,10.1299835599486,,
53033008500,450978,0,Census Tract 85,Washington,King County,1920,186,185,75,84,44,48,40,53,46,51,43,63,48,87,68,40,39,90,70,96,57,289,119,193,81,122,70,169,75,120,75,230,101,1086,209,56.6,9.40571429366589,10.1,4.10482322940561,641,162,33.4,7.79302748868047,,
53033008600,711350,0,Census Tract 86,Washington,King County,2931,330,229,137,298,200,87,62,90,58,14,23,66,55,50,53,104,98,43,60,319,190,242,147,342,144,158,95,287,117,135,70,467,175,1542,378,52.6,11.4558678386562,11.7,4.73409486766855,1047,241,35.7,7.17169221044864,,
53033008700,732385,0,Census Tract 87,Washington,King County,1841,202,103,65,58,64,21,24,83,58,69,67,36,37,0,13,0,13,22,21,49,38,97,59,161,72,107,54,132,68,386,166,517,111,538,154,29.2,7.72606923941487,8.7,3.79137633446666,1142,218,62,9.68984337083373,,
53033008800,948581,0,Census Tract 88,Washington,King County,1650,155,118,76,21,28,14,23,0,13,40,46,77,94,9,16,14,21,33,29,53,44,41,47,262,89,70,43,170,73,216,86,512,104,420,155,25.5,9.08451064586531,15.9,5.18358767924583,968,159,58.7,7.9048819379684,,
53033008900,1270033,1798066,Census Tract 89,Washington,King County,2543,306,98,89,2,3,45,61,21,32,0,18,37,44,75,70,20,32,48,46,256,235,233,164,277,125,234,127,275,156,250,97,672,147,835,324,32.8,12.1127394323508,10.9,4.73747975574183,1431,267,56.3,8.02420676777286,,
53033009000,855872,0,Census Tract 90,Washington,King County,2080,178,247,100,196,80,95,50,17,21,82,63,112,70,31,45,45,34,48,48,113,74,107,60,299,136,181,79,172,66,90,61,245,118,1093,207,52.5,8.87798618526615,14.4,6.42169489459898,688,168,33.1,7.56467246062044,,
53033009100,410621,0,Census Tract 91,Washington,King County,1773,251,161,81,194,171,332,175,71,67,40,36,34,29,26,40,105,72,81,55,177,97,66,58,207,87,71,40,83,59,60,56,65,45,1287,309,72.6,14.0761099270134,11.7,4.62019562367778,279,101,15.7,5.24290541740578,,
53033009200,338451,154864,Census Tract 92,Washington,King County,1891,308,326,208,200,82,231,110,44,35,32,30,105,90,112,77,70,50,85,85,53,37,272,217,102,63,68,56,44,31,21,24,126,56,1530,369,80.9,14.3912731654292,5.4,3.2136439993271,259,88,13.7,4.08406384150365,,
53033009300,9444110,639051,Census Tract 93,Washington,King County,1558,204,84,60,18,21,0,13,13,11,41,38,39,33,6,9,31,42,12,19,180,106,113,62,207,68,247,140,154,61,134,76,279,82,537,155,34.5,8.86612174596104,13.3,4.00287857837779,814,189,52.2,10.0180006830384,,
53033009400,1686311,0,Census Tract 94,Washington,King County,3103,383,67,58,113,85,112,87,33,44,108,79,92,108,40,39,345,335,86,73,299,148,242,151,314,162,206,123,299,147,242,117,505,164,1537,449,49.5,13.1148348686108,10.1,5.06914736326857,1252,278,40.3,7.4473755585965,,
53033009500,2597717,2916270,Census Tract 95,Washington,King County,2876,259,98,75,13,21,145,131,7,12,51,37,160,95,80,52,139,99,44,45,209,143,102,62,166,158,140,70,305,125,186,81,1031,248,1048,269,36.4,8.7587013168098,5.8,5.46909583111375,1662,298,57.8,8.95988019630073,,
53033009600,1906922,1385222,Census Tract 96,Washington,King County,2847,376,60,49,13,23,119,86,18,31,132,114,27,32,78,88,95,89,76,89,70,56,152,89,170,85,299,134,150,81,479,293,909,203,840,245,29.5,7.67277972154772,6,2.87956527950994,1837,389,64.5,10.6805152532013,,
53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,2791,249,74,54,10,16,21,33,84,71,67,53,84,98,61,95,42,42,94,90,85,61,213,109,433,210,216,97,253,124,294,108,760,185,835,237,29.9,8.06119064614271,15.5,7.3957842315508,1523,266,54.6,8.1934362775981,,
53033009702,2220441,0,Census Tract 97.02,Washington,King County,2215,226,15,24,0,18,0,18,0,18,17,27,9,13,94,75,33,39,33,37,97,116,165,104,187,138,265,91,208,98,382,117,710,150,463,188,20.9,8.21525582985382,8.4,6.1704126124215,1565,233,70.7,7.66051899261777,,
53033009900,6565170,2370735,Census Tract 99,Washington,King County,2981,359,119,102,60,69,34,33,99,100,11,18,183,167,101,74,51,58,57,41,308,258,249,118,428,182,282,126,273,122,259,111,467,150,1272,381,42.7,11.70238499261,14.4,5.85537310869402,1281,256,43,6.85326234258115,,
53033010001,2327512,0,Census Tract 100.01,Washington,King County,1627,175,239,113,119,65,70,54,11,17,58,63,50,38,55,51,62,60,48,47,84,59,83,41,139,62,178,104,65,37,220,88,146,63,879,198,54,10.6926239130451,8.5,3.69823994365577,609,155,37.4,8.6342079211831,,
53033010002,948077,0,Census Tract 100.02,Washington,King County,1975,178,57,54,71,58,59,47,98,91,46,32,39,30,27,26,99,104,63,51,162,93,176,78,226,96,189,62,120,69,223,67,320,86,897,218,45.4,10.2509228797362,11.4,4.7500903135191,852,143,43.1,6.10806415386086,,
53033010200,2795533,2076618,Census Tract 102,Washington,King County,1935,153,86,57,7,11,28,34,38,47,18,28,43,27,16,18,38,31,53,45,61,40,58,51,209,93,112,48,251,99,288,76,629,155,446,126,23,6.25138708484307,10.8,4.72971428268171,1280,205,66.1,9.21313502852931,,
53033010401,1629874,0,Census Tract 104.01,Washington,King County,1388,141,75,51,58,38,16,20,41,34,39,36,11,19,10,15,42,48,14,16,157,77,117,86,94,63,147,84,139,87,229,90,199,71,580,153,41.8,10.1729298230638,6.8,4.48646388139103,714,167,51.4,10.8376490136365,,
53033010402,1742875,0,Census Tract 104.02,Washington,King County,1591,147,35,45,45,45,23,24,72,71,9,14,23,26,8,14,41,51,22,24,66,42,62,45,384,140,218,79,149,67,202,67,232,95,406,133,25.5,8.020130528629,24.1,8.51223672465686,801,156,50.3,8.63150924170659,,
53033010701,1457384,3664,Census Tract 107.01,Washington,King County,1784,208,180,108,70,66,55,50,136,134,0,13,43,54,28,34,15,23,0,13,67,44,152,78,163,70,227,125,219,82,195,98,234,73,746,222,41.8,11.4491060670334,9.1,3.77639216617998,875,193,49,9.18347928173653,,
53033010702,780116,0,Census Tract 107.02,Washington,King County,1815,253,109,52,88,52,41,42,205,141,44,48,84,68,91,74,39,35,21,21,145,129,64,40,70,86,138,75,227,167,150,54,299,96,931,244,51.3,11.3843458001724,3.9,4.70769469904319,814,214,44.8,9.99682204897889,,
53033010800,4140525,322633,Census Tract 108,Washington,King County,1839,199,20,21,39,31,30,26,47,40,21,21,55,50,35,34,12,16,78,46,129,156,121,66,265,103,168,85,82,49,305,93,432,132,587,197,31.9,10.140211777321,14.4,5.3794296727414,987,189,53.7,8.47901050090208,,
53033010900,5389781,414929,Census Tract 109,Washington,King County,625,107,65,88,6,9,64,45,19,16,12,13,24,29,24,21,31,31,7,10,66,38,23,17,39,30,52,36,57,33,47,26,89,42,341,120,54.6,16.7747383463473,6.2,4.67961117498623,245,69,39.2,8.76604483894533,,
53033011001,1080391,0,Census Tract 110.01,Washington,King County,1826,252,319,220,248,104,54,41,19,20,126,57,59,51,45,51,37,46,13,19,44,34,155,86,136,137,155,91,98,54,139,58,179,81,1119,284,61.3,13.0527599439318,7.4,7.43199606743008,571,145,31.3,6.66582970772754,,
