Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y
53033011002,1719569,0,Census Tract 110.02,Washington,King County,1296,94,48,46,43,32,53,56,94,74,102,79,32,35,50,48,110,75,57,44,106,59,104,75,160,82,96,61,59,42,60,43,122,65,799,195,61.7,14.3664773260894,12.3,6.2634768431052,337,108,26,8.11710226174593,,
53033011101,1136851,0,Census Tract 111.01,Washington,King County,2153,191,71,73,112,99,19,25,139,112,35,42,75,62,68,67,205,127,0,18,163,86,125,77,341,134,302,151,123,106,224,90,151,77,1012,261,47,11.3828742221373,15.8,6.06319767132171,800,219,37.2,9.62291930046093,,
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,1892,278,45,37,36,44,64,84,38,45,18,21,28,45,20,24,57,89,54,45,211,135,171,102,122,76,197,120,125,80,285,205,421,102,742,232,39.2,10.8238053775911,6.4,3.90357605925858,1028,271,54.3,11.8922143112075,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,1451,169,172,102,60,53,17,26,43,46,117,109,14,23,80,52,68,48,51,42,47,32,201,103,53,37,183,79,101,66,134,62,110,77,870,216,60,13.1465839183826,3.7,2.514226297985,528,143,36.4,8.89739799894762,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,2811,336,63,52,93,93,120,73,198,88,90,56,143,167,56,71,114,93,32,36,145,86,224,125,298,131,141,83,200,121,503,229,391,114,1278,306,45.5,9.43231115547624,10.6,4.484678516659,1235,295,43.9,9.08602410127892,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,1841,167,37,27,52,54,39,37,21,26,79,59,65,54,81,58,16,16,40,59,51,43,199,86,269,92,377,128,98,53,153,59,264,143,680,169,36.9,8.54648097099597,14.6,4.81830344834702,892,208,48.5,10.408272907427,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,1918,184,6,10,104,60,95,50,94,86,49,69,37,24,37,36,81,67,63,64,91,53,289,120,265,105,336,155,166,72,74,57,131,64,946,215,49.3,10.1620155161167,13.8,5.31157110964903,707,191,36.9,9.30927720448574,,
53033011500,1538373,0,Census Tract 115,Washington,King County,1979,247,78,104,43,42,10,15,8,12,47,37,128,150,29,27,96,102,19,30,93,55,164,69,279,81,212,74,178,65,269,85,326,88,715,238,36.1,11.1488704462022,14.1,3.6954465161491,985,157,49.8,4.93421683725196,,
53033011700,3515808,0,Census Tract 117,Washington,King County,1595,186,26,31,18,18,13,22,87,70,71,57,11,16,78,59,78,63,31,31,56,41,215,115,302,158,106,71,193,89,148,79,162,61,684,183,42.9,10.3261277355311,18.9,9.65674453466309,609,151,38.2,8.35466844742868,,
53033012000,1437048,0,Census Tract 120,Washington,King County,1499,165,25,37,0,13,0,13,20,22,22,31,16,19,28,27,33,27,58,44,91,49,108,63,202,93,192,103,136,51,306,140,262,72,401,115,26.8,7.08418009402271,13.5,6.02420906229925,896,195,59.8,11.2221466984897,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,1162,138,19,17,12,19,17,16,11,13,28,33,22,22,33,33,16,19,8,11,13,15,104,95,45,30,111,52,60,32,203,78,460,105,283,116,24.4,9.55459472654906,3.9,2.54046027618746,834,144,71.8,8.99539885832952,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,1691,244,94,79,53,60,75,84,52,46,129,89,54,47,54,59,81,62,107,104,206,113,168,85,146,75,179,133,169,201,50,46,74,65,1073,259,63.5,12.2784574876788,8.6,4.25668101140603,472,254,27.9,14.4706575409125,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,2146,282,155,91,142,94,184,128,12,19,91,66,103,103,30,34,115,110,0,13,49,44,244,124,339,188,96,66,68,59,175,109,343,168,1125,282,52.4,11.1903279957094,15.8,8.51099691653756,682,219,31.8,9.31142448307967,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,2326,402,87,70,50,60,194,101,0,13,18,29,32,35,65,48,73,65,156,149,105,93,235,99,423,296,199,121,264,126,152,106,273,195,1015,261,43.6,8.3085655798307,18.2,12.3314683189014,888,282,38.2,10.1711302734756,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,1550,84,105,88,78,72,16,26,14,22,0,13,0,13,14,24,21,32,42,46,148,76,189,98,117,79,230,93,141,77,260,106,175,100,627,183,40.5,11.6011416146311,7.5,5.08033126278186,806,189,52,11.8634368819244,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,1714,132,181,114,213,117,84,52,77,73,97,88,111,83,101,87,0,13,41,43,78,80,139,109,159,85,79,65,89,74,72,61,193,103,1122,278,65.5,15.4159965153833,9.3,4.9074311420367,433,155,25.3,8.83141365366274,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,2310,258,121,103,243,150,70,66,153,127,265,125,208,102,99,82,118,91,155,132,237,135,117,79,212,156,213,132,75,51,6,28,18,29,1786,369,77.3,13.4387937879225,9.2,6.67500406387684,312,147,13.5,6.18225224750822,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,1799,261,22,28,0,13,8,14,12,19,15,17,112,88,14,28,25,28,57,48,190,97,61,58,511,251,176,150,85,70,237,97,274,92,516,162,28.7,7.98584676836294,28.4,13.3297186473784,772,213,42.9,10.0708913175043,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,1497,102,0,13,40,63,0,13,50,50,0,13,26,31,77,63,15,23,26,42,161,92,161,92,242,125,172,87,93,58,130,98,304,107,556,176,37.1,11.4812579402734,16.2,8.27706625167462,699,179,46.7,11.5262200478913,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,2286,305,271,155,237,197,264,144,74,58,70,69,76,63,69,53,138,96,0,13,232,162,209,124,365,164,149,98,44,51,34,40,54,78,1640,387,71.7,13.9634244456465,16,6.85051749459885,281,141,12.3,5.94594339518665,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,1454,159,218,137,37,44,23,42,79,76,0,13,100,77,34,34,64,102,47,71,44,42,170,109,199,114,121,79,91,67,116,64,111,66,816,254,56.1,16.3555667315591,13.7,7.69626721364799,439,138,30.2,8.89827065886997,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,2538,488,103,110,102,111,49,51,19,32,0,13,64,61,91,104,87,110,39,45,202,151,239,141,214,111,279,249,201,115,363,413,486,159,995,316,39.2,9.9095293749892,8.4,4.06192597741368,1329,521,52.4,17.889230101124,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,2105,330,65,101,27,46,0,13,0,13,0,13,0,13,29,43,16,32,38,47,187,233,146,113,69,64,230,181,354,184,151,164,793,255,508,292,24.1,13.3458408602065,3.3,2.99663839785729,1528,398,72.6,15.0993198280018,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,2120,239,36,39,42,67,52,59,0,13,0,13,12,20,61,70,154,112,61,48,120,76,112,71,134,73,283,207,137,101,237,119,679,132,650,202,30.7,8.87924439001342,6.3,3.36885937901065,1336,291,63,11.7448182598306,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,1610,178,31,35,35,42,4,7,7,12,49,73,0,13,31,37,8,16,9,16,98,93,124,95,222,103,145,89,103,64,196,105,548,177,396,168,24.6,10.0742186100125,13.8,6.21322549728612,992,233,61.6,12.7685453057274,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,1927,342,55,71,241,297,127,81,0,13,0,13,28,45,57,65,0,13,17,29,101,82,103,79,279,126,232,130,132,89,68,65,487,169,729,347,37.8,16.7087390979331,14.5,6.01258712907946,919,240,47.7,9.13656093888276,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,2669,408,132,103,171,158,175,144,0,13,0,13,8,13,30,34,137,90,154,128,210,165,189,133,339,157,407,312,257,212,233,128,227,123,1206,357,45.2,11.454286957001,12.7,5.552676322599,1124,417,42.1,14.2358815911545,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,1412,190,0,13,0,13,0,13,11,18,40,39,0,13,0,13,0,13,0,13,0,13,46,55,56,44,35,33,68,51,220,84,936,193,97,79,6.9,5.51800832554254,4,3.07010929926828,1259,219,89.2,9.82877122376497,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,1616,221,38,37,57,62,9,16,18,20,23,25,9,15,30,37,0,13,63,75,99,58,91,65,91,66,180,118,91,79,168,97,649,192,437,147,27,8.3108496226364,5.6,4.01089584708254,1088,258,67.3,13.0428336992579,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,1464,182,47,47,41,35,0,13,0,13,15,24,21,32,0,13,25,29,14,27,17,27,108,60,110,71,132,64,129,75,208,126,597,143,288,107,19.7,6.8874428752523,7.5,4.7589235135968,1066,215,72.8,11.5643018929199,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,1793,250,0,13,54,54,33,49,0,13,0,13,0,13,25,39,12,19,0,13,0,13,206,199,242,154,109,46,197,108,162,87,753,180,330,219,18.4,11.9415403765962,13.5,8.3802544218156,1221,232,68.1,8.79022342259277,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,1225,179,122,72,49,57,0,13,29,41,47,44,0,13,24,30,23,27,26,42,54,40,50,45,115,96,79,62,136,147,114,71,357,91,424,139,34.6,10.1574326937882,9.4,7.71574236997026,686,197,56,13.8441235825023,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,1651,216,126,89,61,75,57,53,53,43,124,116,77,72,56,64,47,43,95,74,121,90,143,126,160,103,83,68,46,48,119,94,283,187,960,269,58.1,14.4081862057104,9.7,6.10844818522173,531,225,32.2,12.9622421381699,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,2204,275,67,83,42,46,21,35,28,46,0,13,74,84,57,65,187,152,0,13,237,166,245,168,268,152,382,191,190,155,250,131,156,84,958,321,43.5,13.5169836088919,12.2,6.72759349425713,978,291,44.4,11.9863079146863,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,2214,352,87,102,59,69,45,76,44,76,0,13,0,13,45,73,78,121,0,13,173,122,282,261,272,243,236,148,222,165,328,240,343,162,813,361,36.7,15.2243014237371,12.3,10.8004097276227,1129,365,51,14.3547299094746,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,2032,223,106,112,45,53,16,26,45,52,24,41,0,13,0,13,126,103,0,13,50,84,185,139,257,162,164,160,318,196,325,188,371,224,597,241,29.4,11.4135563153311,12.6,7.85068536783069,1178,387,58,17.9512056849264,,
53033004901,497144,0,Census Tract 49.01,Washington,King County,1989,215,19,30,55,69,0,13,84,90,35,40,79,58,0,13,85,67,23,36,87,89,136,81,184,79,289,163,225,154,227,112,461,143,603,198,30.3,9.39988607308782,9.3,3.84390622314004,1202,289,60.4,12.9786767549118,,
53033004902,597604,17368,Census Tract 49.02,Washington,King County,1854,233,72,59,36,47,0,13,20,22,35,46,0,13,0,13,13,21,9,14,269,98,90,77,260,114,184,131,194,98,244,97,428,191,544,158,29.3,7.68300514395281,14,5.89087763508257,1050,270,56.6,12.7053403527548,,
53033005201,699701,73218,Census Tract 52.01,Washington,King County,1646,205,121,87,79,56,43,36,83,84,87,96,0,13,23,30,51,51,33,38,209,163,122,84,72,47,124,69,36,42,135,96,428,125,851,259,51.7,14.3573019097833,4.4,2.80295497385732,723,177,43.9,9.25781979169565,,
53033005202,269234,19268,Census Tract 52.02,Washington,King County,1479,220,352,142,33,33,20,24,38,60,88,76,44,49,60,68,84,85,41,38,27,30,185,112,72,47,115,81,79,83,75,62,166,129,972,246,65.7,13.4568064533347,4.9,3.09421852855053,435,184,29.4,11.64620336023,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,24,17,12,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,5,8,8,0,13,0,13,0,13,0,13,16,41,66.7,164.177006630566,33.3,23.5292699251353,0,26,0,108.333333333333,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,148,37,49,23,7,9,13,19,20,15,9,13,13,15,5,7,18,20,0,13,10,11,0,13,4,6,0,13,0,13,0,13,0,13,144,50,97.3,23.4450696931047,2.7,3.99735120479704,0,26,0,17.5675675675676,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,1215,174,393,128,54,31,46,53,106,80,15,24,90,75,137,87,28,31,42,66,93,74,72,64,64,64,60,49,15,26,0,13,0,13,1076,235,88.6,14.6029877701384,5.3,5.21319422799348,75,58,6.2,4.69109557300688,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,1640,237,437,158,127,81,140,119,52,38,0,13,50,49,105,92,65,51,40,47,96,80,168,105,17,29,76,71,129,177,96,86,42,41,1280,284,78,13.1402119001591,1,1.76193620888708,343,213,20.9,12.6312333033547,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,361,191,86,71,44,46,0,13,0,13,13,20,0,13,137,167,14,22,30,38,10,18,0,13,16,27,11,17,0,13,0,13,0,13,334,196,92.5,23.4852104760164,4.4,7.10210328453997,11,28,3,7.58683357215776,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,2003,212,0,13,57,65,0,13,16,26,45,42,69,76,75,74,19,32,71,75,107,70,90,81,186,110,238,106,315,168,387,150,328,131,549,191,27.4,9.08370854879773,9.3,5.40309736629068,1268,281,63.3,12.3254945401593,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,1660,272,14,22,69,87,15,24,53,66,18,28,0,13,44,42,14,22,16,25,107,92,207,113,149,67,354,236,154,96,164,76,282,102,557,195,33.6,10.3809093148734,9,3.75863753331521,954,285,57.5,14.3557718379203,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,1497,173,85,86,13,21,0,13,26,30,33,52,25,29,22,25,14,23,42,34,132,73,113,67,78,48,132,95,153,87,189,145,440,100,505,157,33.7,9.73614849193756,5.2,3.14936680173451,914,218,61.1,12.7389292371003,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,1529,245,22,40,50,64,80,72,13,21,34,34,45,41,0,13,29,48,59,70,140,98,106,80,390,195,159,157,146,80,93,62,163,80,578,194,37.8,11.1487792860225,25.5,12.0807966405753,561,203,36.7,11.9039975614514,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,1297,288,21,25,0,13,17,31,20,32,85,75,36,56,0,13,0,13,16,29,18,30,129,77,188,215,85,82,96,76,247,139,339,113,342,140,26.4,9.06810821139559,14.5,16.2612407142965,767,211,59.1,9.60347744962418,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,1716,195,68,61,12,19,11,19,0,13,14,23,22,36,75,79,0,13,26,30,128,85,31,38,142,93,156,92,82,81,164,102,785,190,387,150,22.6,8.35713902200423,8.3,5.33737748756438,1187,248,69.2,12.1276079292522,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,1992,300,0,13,0,13,0,13,23,38,0,13,62,99,25,43,20,37,18,28,184,165,182,164,35,40,207,133,151,99,452,246,633,294,514,265,25.8,12.7229821130771,1.8,1.99052082765374,1443,418,72.4,17.9250143011389,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,1980,403,200,204,0,13,0,13,0,13,31,51,0,13,0,13,31,52,0,13,0,13,185,171,330,239,382,280,122,101,263,182,436,196,447,278,22.6,13.2672244312462,16.7,11.5842379614834,1203,400,60.8,15.974851546382,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,1882,423,33,55,0,13,36,57,0,13,79,118,31,51,87,84,27,45,29,48,200,191,29,46,370,148,384,323,121,84,87,81,369,178,551,270,29.3,12.7482778711066,19.7,6.5051084224581,961,387,51.1,17.0624520013864,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,2870,535,108,116,187,153,118,114,0,13,51,56,88,75,174,105,47,55,346,344,355,380,256,168,239,171,94,104,161,116,246,145,400,159,1730,603,60.3,17.7532327613286,8.3,5.75241123707463,901,266,31.4,7.18705052582951,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,2245,274,132,107,58,80,31,44,24,44,0,13,126,111,139,108,91,84,89,83,269,206,227,136,134,90,252,149,209,135,124,81,340,162,1186,347,52.8,14.0475321173812,6,3.94216354692622,925,271,41.2,10.9739360215832,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,1860,296,35,38,0,13,0,13,21,31,33,38,67,84,17,28,34,39,15,23,130,98,141,81,280,116,428,270,252,162,214,152,193,91,493,174,26.5,8.34990886401418,15.1,5.75808285430893,1087,361,58.4,17.0352250096844,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,1680,214,88,61,69,56,31,35,50,79,0,13,96,76,79,82,17,27,0,13,113,89,34,38,284,126,103,69,66,54,290,130,360,193,577,193,34.3,10.622444503701,16.9,7.18422624414117,819,249,48.8,13.4578179034795,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,3535,447,194,162,225,210,27,43,393,320,330,273,70,69,31,51,98,123,0,18,59,67,148,103,135,116,191,126,183,113,580,206,871,262,1575,536,44.6,14.0771227978671,3.8,3.24574396768091,1825,374,51.6,8.32571804803001,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,1932,318,63,44,0,13,0,13,36,50,67,75,0,13,0,13,49,60,21,35,52,60,92,89,188,164,125,107,73,84,250,187,916,252,380,165,19.7,7.90298685840227,9.7,8.33613990160923,1364,342,70.6,13.3535925547656,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,1982,365,26,43,34,54,35,59,0,13,0,13,78,78,28,46,46,61,0,13,116,145,291,192,40,48,328,254,116,96,383,190,461,231,654,280,33,12.7534577902797,2,2.39310795441179,1288,404,65,16.5004650198938,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,1916,271,192,170,37,59,60,71,74,68,90,87,0,13,87,108,0,13,61,98,148,128,94,74,166,128,191,140,146,97,294,165,276,194,843,305,44,14.6517709618962,8.7,6.56723275440638,907,306,47.3,14.4994939523959,,
53033007302,312981,0,Census Tract 73.02,Washington,King County,3091,303,327,231,39,57,27,51,52,63,26,40,105,96,174,94,82,132,48,60,67,64,40,43,272,170,193,143,380,240,351,190,908,222,987,331,31.9,10.2408236629586,8.8,5.43177024229694,1832,404,59.3,11.7079061954045,,
53033007303,313527,0,Census Tract 73.03,Washington,King County,1844,206,0,13,0,13,82,50,49,44,25,41,23,37,38,46,0,13,0,13,68,71,136,105,200,120,317,150,207,132,160,88,539,223,421,162,22.8,8.40687178619922,10.8,6.39379954309099,1223,312,66.3,15.2112199969598,,
53033007403,118559,0,Census Tract 74.03,Washington,King County,1911,308,89,85,35,31,31,35,16,26,71,70,24,31,86,62,47,45,62,56,228,132,108,85,254,117,47,46,206,94,258,134,349,273,797,223,41.7,9.53882280564351,13.3,5.73544212218829,860,322,45,15.20880889732,,
53033007404,153725,0,Census Tract 74.04,Washington,King County,2046,309,59,55,17,27,32,36,16,26,32,37,0,13,14,23,128,115,84,71,253,218,222,110,181,100,283,220,225,114,205,124,295,129,857,293,41.9,12.847655540938,8.8,4.70142929163352,1008,306,49.3,12.9738125007686,,
53033007405,131830,0,Census Tract 74.05,Washington,King County,1850,340,50,46,62,79,51,47,16,25,98,85,90,92,167,124,107,87,112,107,83,63,80,81,356,311,176,85,76,65,211,108,115,72,916,268,49.5,11.2717469359355,19.2,16.4345930420254,578,168,31.2,7.03530047858348,,
53033007406,150829,0,Census Tract 74.06,Washington,King County,1914,267,186,120,39,44,176,117,19,29,73,89,15,23,38,44,151,135,134,162,159,118,191,98,226,123,50,49,73,90,227,120,157,82,1181,331,61.7,14.9993450543203,11.8,6.21165115212163,507,178,26.5,8.53426719758799,,
53033007501,298283,0,Census Tract 75.01,Washington,King County,2844,545,153,150,222,141,295,282,212,221,42,68,0,13,41,69,115,178,59,72,78,98,342,209,152,175,263,196,193,239,145,112,532,412,1559,520,54.8,14.9652916742321,5.3,6.06747047503477,1133,527,39.8,16.8845420377691,,
53033007502,315931,0,Census Tract 75.02,Washington,King County,1757,398,148,144,165,245,0,13,35,58,0,13,82,106,0,13,104,123,62,101,34,56,114,115,129,127,603,319,0,13,188,158,93,111,744,371,42.3,18.811115603211,7.3,7.03429226214948,884,373,50.3,17.9107149422631,,
53033007503,187541,0,Census Tract 75.03,Washington,King County,1662,352,167,185,0,13,158,176,0,13,0,13,96,128,116,126,66,109,114,151,87,119,32,54,181,139,94,108,83,102,296,197,172,193,836,387,50.3,20.7052224383807,10.9,8.03907149780296,645,313,38.8,16.9444142878745,,
53033007901,267231,0,Census Tract 79.01,Washington,King County,2032,308,213,144,49,48,79,104,31,33,174,222,28,34,39,41,127,92,78,65,64,61,147,121,222,103,208,119,87,65,92,57,394,145,1029,344,50.6,15.0890362518043,10.9,4.7907659505518,781,207,38.4,8.35675629217694,,
53033007902,431244,0,Census Tract 79.02,Washington,King County,1930,259,223,177,42,43,21,34,27,33,11,20,90,88,12,21,106,93,140,113,226,150,66,57,149,99,97,62,122,78,113,88,485,138,964,302,49.9,14.1393342726769,7.7,5.02381947650843,817,192,42.3,8.16671708464025,,
53033008003,197152,0,Census Tract 80.03,Washington,King County,2826,383,197,128,185,162,67,76,30,49,88,82,23,36,0,13,0,13,169,147,246,209,97,100,300,225,139,143,319,134,322,166,644,235,1102,367,39,11.8625669536746,10.6,7.83071425259748,1424,348,50.4,10.2471128729056,,
53033008004,284626,526767,Census Tract 80.04,Washington,King County,2154,277,20,33,69,84,0,13,62,66,30,49,30,36,0,13,44,47,70,81,84,131,39,50,52,61,70,71,314,235,369,188,901,199,448,212,20.8,9.47176141169154,2.4,2.81487267903694,1654,368,76.8,13.9416731134106,,
53033008101,270324,277671,Census Tract 81.01,Washington,King County,1833,178,196,152,78,64,116,74,45,42,11,19,39,44,37,57,25,26,21,32,111,95,125,90,211,120,143,67,89,57,238,91,348,106,804,243,43.9,12.554049699642,11.5,6.45050421631021,818,165,44.6,7.88982967105244,,
53033008102,556705,91220,Census Tract 81.02,Washington,King County,1460,349,92,71,97,58,21,33,60,68,40,43,19,30,93,109,21,34,0,13,22,37,11,18,164,134,112,85,291,300,84,69,333,149,476,178,32.6,9.37563436263576,11.2,8.77652139627958,820,352,56.2,20.0256251147688,,
53033008401,250921,0,Census Tract 84.01,Washington,King County,2153,274,69,92,49,60,41,61,93,122,5,11,141,157,112,109,45,57,47,54,199,174,287,175,110,83,131,123,244,167,451,201,129,94,1088,367,50.5,15.7862376260753,5.1,3.79985676726509,955,304,44.4,12.9423093014152,,
53033008402,145446,0,Census Tract 84.02,Washington,King County,2099,428,45,56,0,13,0,13,154,104,80,90,0,13,101,107,0,13,17,30,354,359,426,276,189,116,141,98,92,69,235,141,265,183,1177,490,56.1,20.352608759437,9,5.21253598875266,733,260,34.9,10.1355643567576,,
53033009801,1004708,0,Census Tract 98.01,Washington,King County,1461,255,0,13,40,46,18,30,0,13,121,130,63,100,8,13,0,13,0,13,142,117,37,40,170,78,94,67,63,58,308,139,397,147,429,215,29.4,13.7946771043169,11.6,4.93744110094847,862,221,59,11.0801112915642,,
53033009802,922319,0,Census Tract 98.02,Washington,King County,1764,310,13,20,46,58,47,44,41,37,32,36,51,47,29,32,19,30,195,249,159,162,92,66,106,63,150,64,186,107,83,54,515,166,724,324,41,16.8918660715577,6,3.41173456859279,934,215,52.9,7.87219064481476,,
53033010101,871622,0,Census Tract 101.01,Washington,King County,1614,250,200,125,163,92,13,22,14,22,64,64,11,18,151,160,86,60,63,63,75,64,0,13,41,43,172,99,139,81,134,76,288,139,840,259,52,13.8752418026368,2.5,2.63497196206927,733,204,45.4,10.5009301065669,,
53033010102,1623225,2170065,Census Tract 101.02,Washington,King County,1734,220,79,70,9,18,78,63,19,35,0,13,60,59,43,50,0,13,0,13,18,33,133,183,129,102,104,59,229,108,302,154,531,157,439,227,25.3,12.6909340500384,7.4,5.80613272766735,1166,252,67.2,11.7651461217192,,
53033010301,1002658,0,Census Tract 103.01,Washington,King County,1484,242,176,112,31,31,52,71,0,13,29,35,66,79,27,36,0,13,27,30,217,206,23,31,60,50,169,94,72,64,148,87,387,136,648,268,43.7,16.5962027763991,4,3.30413186965149,776,197,52.3,10.1739739714277,,
53033010302,632167,0,Census Tract 103.02,Washington,King County,1586,197,57,62,62,102,28,34,73,77,31,52,25,29,44,42,42,37,0,13,42,40,213,129,104,61,251,146,107,59,111,78,396,149,617,215,38.9,12.6656271587749,6.6,3.75892041806561,865,230,54.5,12.822296156232,,
53033010501,742016,0,Census Tract 105.01,Washington,King County,2102,201,159,145,25,39,14,25,45,54,112,80,50,56,52,63,21,33,40,48,47,55,53,51,399,177,265,146,193,102,232,137,395,185,618,220,29.4,10.0815661002948,19,8.22259450738753,1085,291,51.6,12.9341694354164,,
53033010502,975912,0,Census Tract 105.02,Washington,King County,3054,450,19,32,104,98,0,18,182,146,59,60,0,18,164,156,89,72,0,18,104,86,146,98,448,265,345,251,350,251,485,257,559,383,867,288,28.4,8.45173178512897,14.7,8.40361934793171,1739,582,56.9,17.1105892039477,,
53033010601,1089233,0,Census Tract 106.01,Washington,King County,1975,252,54,51,39,42,18,29,84,71,0,13,37,43,46,47,23,35,53,51,73,56,48,35,242,140,95,65,319,131,315,147,529,205,475,151,24.1,7.00268347602367,12.3,6.91404422246396,1258,292,63.7,12.3506030219931,,
53033010602,1505061,817134,Census Tract 106.02,Washington,King County,1943,320,39,39,132,192,0,13,58,78,0,13,13,23,0,13,108,115,38,37,93,79,170,105,333,205,95,57,138,87,207,79,519,218,651,278,33.5,13.2008896059485,17.1,10.1661259435177,959,254,49.4,10.2379539357036,,
53033011601,1554538,184845,Census Tract 116.01,Washington,King County,1377,152,16,19,30,29,0,13,36,47,10,18,50,52,7,14,8,14,0,13,67,62,88,65,158,88,103,70,141,96,270,100,393,101,312,123,22.7,8.57516155282431,11.5,6.26393462371515,907,185,65.9,11.2975482363845,,
53033011602,1565825,786358,Census Tract 116.02,Washington,King County,1478,221,14,24,46,41,0,13,0,13,27,35,28,32,15,25,0,13,70,81,51,51,83,54,167,99,263,173,243,111,222,101,249,93,334,133,22.6,8.34013880128933,11.3,6.48166632570059,977,247,66.1,13.4754419409159,,
53033011801,1160802,630417,Census Tract 118.01,Washington,King County,1137,231,51,81,0,13,21,33,90,79,0,13,27,45,39,45,22,34,53,69,33,38,107,173,157,80,117,81,98,72,190,114,132,72,443,236,39,19.1876857187732,13.8,6.45259766816209,537,173,47.2,11.8083934155368,,
53033011802,1139611,1037832,Census Tract 118.02,Washington,King County,1872,280,211,172,127,113,68,66,0,13,79,72,36,63,128,94,88,99,69,65,79,84,167,112,199,123,265,157,79,57,125,84,152,91,1052,314,56.2,14.515457061157,10.6,6.37522642810216,621,208,33.2,9.94170406114396,,
53033011901,1682374,0,Census Tract 119.01,Washington,King County,1337,375,12,23,0,13,34,39,20,32,0,13,26,42,53,57,15,23,71,87,62,71,31,37,144,115,102,95,215,230,249,119,303,183,324,151,24.2,9.01968508748839,10.8,8.05341843092952,869,331,65,16.7502156195539,,
53033011902,1580686,1217487,Census Tract 119.02,Washington,King County,1229,198,47,58,10,18,0,13,0,13,118,69,93,121,0,13,0,13,13,23,90,72,74,60,104,59,180,94,285,135,98,88,117,88,445,182,36.2,13.6114542209847,8.5,4.60300271806168,680,206,55.3,14.1948054895131,,
