Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
53033010900,5389781,414929,Census Tract 109,Washington,King County,56902,36744,,,106369,63154,,,21250,16323,,,,,143478,72454,,,,,,,67708,37514,,,625,107,83,42,542,111,13.3,6.32371995400682,,
53033011001,1080391,0,Census Tract 110.01,Washington,King County,47813,28990,61552,50521,122348,10034,,,18148,10100,92598,91429,,,28378,23989,,,63558,13800,,,118229,42434,43942,12556,1826,252,193,83,1633,265,10.6,4.30504891747023,,
53033011002,1719569,0,Census Tract 110.02,Washington,King County,52418,15983,,,50372,9946,74500,23513,40179,37435,42643,32227,,,65125,25914,,,,,,,67969,46782,99125,4750,1296,94,239,95,1057,117,18.4,7.20717924275318,,
53033011101,1136851,0,Census Tract 111.01,Washington,King County,81250,15846,53472,38503,88050,13256,91500,23292,40444,31528,68462,60830,,,69450,23148,41091,38253,,,,,97813,26746,,,2153,191,349,141,1804,189,16.2,6.38916758404643,,
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,113553,29969,,,100786,25281,133836,51520,102885,59312,55230,36969,,,112778,29684,,,42325,21566,88219,40120,171458,40750,52174,51820,1892,278,522,245,1370,195,27.6,12.298342578682,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,61935,10674,,,95114,55882,45313,21780,63523,50092,62868,60642,37750,17480,62500,54162,,,60024,37918,,,105121,24712,43837,23601,1451,169,317,126,1134,160,21.8,8.30248899596355,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,85125,20772,,,163516,56826,85750,46246,30335,6398,,,53854,48382,143934,21078,,,,,65403,19083,87500,20770,96219,94324,2811,336,283,120,2528,336,10.1,4.09582060409733,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,96625,14849,35875,34408,102375,25321,122692,23355,47406,40886,,,,,153077,149901,,,,,,,93621,9761,64911,27715,1841,167,277,99,1564,173,15,5.20142193006393,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,77656,14175,,,91344,16501,78990,34032,19643,17497,71316,5126,,,97321,46925,,,53583,28461,66250,24977,101250,30915,63208,36413,1918,184,195,76,1723,207,10.2,3.84054836938758,,
53033011500,1538373,0,Census Tract 115,Washington,King County,99719,18840,,,132426,44179,96125,28066,67426,14005,41618,39143,,,81587,57941,,,,,,,113846,17394,40212,16959,1979,247,438,203,1541,173,22.1,9.87876135791514,,
53033011700,3515808,0,Census Tract 117,Washington,King County,82697,7704,,,113125,70716,86563,16090,68750,24448,86628,18706,,,80536,18064,,,68625,8862,,,128750,28245,41827,26677,1595,186,157,72,1438,191,9.8,4.36572579412463,,
53033012000,1437048,0,Census Tract 120,Washington,King County,114159,18353,,,143155,26459,118125,56620,100125,34374,,,,,,,,,,,84688,68806,114327,20944,82738,21158,1499,165,194,78,1305,186,12.9,5.00466808945754,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,167813,31563,,,199500,38863,195455,40322,67165,22206,,,,,246250,79653,,,,,,,165208,35464,198000,101887,1162,138,250,99,912,130,21.5,8.12763043835575,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,57004,9291,,,73102,30735,48529,17112,41905,25338,27434,21613,,,61316,54167,,,70469,49149,57381,11154,74769,30720,46333,28854,1691,244,80,76,1611,258,4.7,4.44223710949018,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,71476,9783,,,82806,11808,83083,44116,30234,10635,,,,,,,,,76284,6252,,,78702,26019,76284,6252,2146,282,261,115,1885,296,12.2,5.11493707086841,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,83570,7279,81172,41922,69313,32473,94281,23598,49512,19560,,,,,,,,,91429,77902,86167,48268,83713,9578,57768,39162,2326,402,345,194,1981,369,14.8,7.93678879087662,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,104167,24299,,,128625,24194,99539,31771,59550,31062,51346,44429,,,133929,53905,,,,,161328,138633,105563,19960,,,1550,84,298,104,1252,144,19.2,6.62828672340148,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,39470,26639,,,65608,18087,100136,34045,16831,6616,,,,,,,,,,,37367,35825,57518,40354,,,1714,132,189,110,1525,128,11,6.3613037008983,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,39818,9952,40644,37556,47861,11316,42095,19741,28698,6900,34755,17455,,,86458,55365,,,,,43611,33928,36042,10322,,,2310,258,192,128,2118,288,8.3,5.46281037068853,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,88406,14124,,,156500,32058,84714,22957,51822,2303,81660,5701,,,151591,124397,,,,,78663,786,97888,17897,78762,415,1799,261,133,120,1666,244,7.4,6.58357348358914,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,98305,13955,,,109643,56979,100000,29218,83393,23670,,,,,122143,104534,,,,,,,98116,19009,,,1497,102,219,104,1278,132,14.6,6.87534706847354,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,43228,12829,,,60633,10586,,,31361,22782,,,,,,,,,,,2499,,44383,14391,,,2286,305,287,142,1999,326,12.6,5.98161326668561,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,64274,10632,,,77795,21846,98250,39394,41836,9626,38566,4580,,,62836,12248,,,,,24279,14472,97583,26113,40352,39595,1454,159,251,132,1203,199,17.3,8.87996996399659,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,106750,36372,,,134674,60562,,,51500,32471,,,,,169099,69874,,,,,,,88164,35748,,,2538,488,326,156,2212,502,12.8,5.62855665969575,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,147272,25884,,,201813,9181,147250,32284,,,,,,,209879,136281,,,,,70388,70163,145923,22822,,,2105,330,96,76,2009,328,4.6,3.53895360982701,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,123833,28133,,,136667,38596,154688,84314,49554,16351,,,,,,,,,,,108594,57869,124583,31795,,,2120,239,286,109,1834,250,13.5,4.91142264885464,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,128158,47115,,,164602,65146,126818,107680,115915,49679,,,,,,,,,,,223047,93835,121900,28644,223047,145549,1610,178,519,218,1091,173,32.2,13.0629138464336,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,96622,21086,70417,55209,136674,35161,131172,88455,,,,,,,,,,,2499,,,,113804,15497,2499,,1927,342,286,126,1641,328,14.8,5.98462362747287,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,88958,24447,,,112961,41478,46083,37712,,,,,,,116056,8993,,,93867,20195,69307,20807,87667,34538,93262,45568,2669,408,207,147,2462,418,7.8,5.37856221216402,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,250001,,,,189571,62511,250001,,232396,64441,,,,,198958,132412,,,,,,,250001,,,,1412,190,241,99,1171,220,17.1,6.62450081934176,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,161875,67639,,,180022,118110,229188,85357,146538,88975,,,,,,,,,,,82917,62731,182114,35799,132939,48059,1616,221,359,162,1257,181,22.2,9.55329932111501,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,177644,27052,,,178245,19818,226779,65472,88917,35188,,,,,222159,148797,,,,,,,172639,22685,,,1464,182,281,125,1183,200,19.2,8.19805354365877,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,165257,53559,,,202201,52900,165588,66651,92569,28625,,,,,99430,27187,,,,,250001,,171971,48385,,,1793,250,342,129,1451,265,19.1,6.68504361255333,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,119313,38843,,,63625,20096,194107,39061,221357,88625,,,,,,,,,,,,,138862,29178,,,1225,179,234,104,991,211,19.1,8.01783205307926,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,61328,26660,27143,9417,78523,25220,181433,88807,,,,,,,,,,,,,54534,42527,72729,30894,56167,46677,1651,216,191,136,1460,239,11.6,8.09719026151517,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,86065,21112,107500,37667,102674,16447,,,44491,21861,,,,,113647,55307,,,,,,,79427,14857,50653,24418,2204,275,162,106,2042,271,7.4,4.72118472624213,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,101897,45259,,,108981,38989,,,,,,,,,195739,17537,,,,,75794,14396,75318,32214,,,2214,352,253,141,1961,380,11.4,6.10391911447794,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,122412,35941,,,109219,30742,154602,95287,24200,20318,,,,,131467,67380,,,,,151210,60743,109340,23133,,,2032,223,64,76,1968,211,3.1,3.72415139020406,,
53033004901,497144,0,Census Tract 49.01,Washington,King County,111374,27228,107344,57264,120263,33152,149345,64282,84148,79168,,,,,,,,,,,148476,49184,107316,10385,148994,56723,1989,215,365,163,1624,216,18.4,7.95137800125275,,
53033004902,597604,17368,Census Tract 49.02,Washington,King County,109697,35012,107557,73371,120906,33163,225434,79859,,,,,,,246339,132249,,,,,,,120781,34635,60526,10157,1854,233,219,160,1635,176,11.8,8.50135105493836,,
53033005201,699701,73218,Census Tract 52.01,Washington,King County,73333,25484,,,78125,45532,195410,171952,56429,50824,,,,,,,,,,,,,85500,39295,,,1646,205,320,135,1326,236,19.4,7.83615508971678,,
53033005202,269234,19268,Census Tract 52.02,Washington,King County,46830,25537,27807,10486,108259,48021,,,,,,,,,46830,28450,,,,,250001,,41101,21314,,,1479,220,0,13,1479,220,0,0.878972278566599,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,,,,,,,,,,,,,,,,,,,,,,,70000,27594,,,24,17,0,13,24,17,0,54.1666666666667,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,21042,8950,,,28194,9086,,,,,,,,,,,,,,,,,31923,12037,,,148,37,21,19,127,35,14.2,12.338021001571,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,26417,13207,,,36250,16326,63750,25751,,,,,,,,,,,,,,,32936,8490,,,1215,174,117,90,1098,166,9.6,7.27790377359679,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,37833,19001,16714,16579,95000,81127,,,22647,7767,,,,,44250,26958,,,,,,,43088,23113,3560,688,1640,237,127,86,1513,270,7.7,5.12310004554562,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,35684,14652,36113,986,,,,,,,,,,,,,,,,,53125,48838,35970,5603,,,361,191,16,27,345,188,4.4,7.10210328453997,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,126131,19239,48682,11994,143294,17661,124128,37694,,,80787,79138,,,123895,80571,,,,,102275,94140,135670,28086,134667,133610,2003,212,246,151,1757,201,12.3,7.42577560206602,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,105882,11173,59231,58021,98250,35678,111779,40583,63583,45738,,,,,75547,47653,,,,,,,110282,10209,123906,104219,1660,272,196,75,1464,255,11.8,4.08289069366724,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,131385,33592,,,156143,26147,107939,58259,,,,,,,148889,47153,,,,,,,128173,47490,211694,36282,1497,173,189,85,1308,198,12.6,5.48736480894218,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,82289,7888,,,89661,24483,81296,5526,33348,19190,,,,,176250,122817,,,,,80446,59694,81671,10424,82022,69099,1529,245,75,62,1454,249,4.9,3.97803394196543,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,140036,49293,45781,36413,173925,12109,121845,71918,67132,38222,,,,,194599,149670,,,,,173507,84859,116500,37663,,,1297,288,162,100,1135,288,12.5,7.19398118517736,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,164828,54888,137964,83615,225764,74380,,,146696,83971,,,,,249839,64810,,,,,,,147232,40693,,,1716,195,432,143,1284,205,25.2,7.82690280246735,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,153387,28285,,,172105,36655,,,,,,,,,180637,64485,,,,,,,165406,73859,63792,26721,1992,300,138,113,1854,290,6.9,5.57591993453904,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,114222,19657,,,114892,25898,2499,,,,,,,,157394,47743,,,,,,,113767,22402,,,1980,403,166,94,1814,416,8.4,4.43020201454117,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,103393,20498,,,103548,32770,110798,31850,93750,6106,,,,,134676,126483,,,,,200667,118948,93597,21127,142736,84945,1882,423,154,95,1728,429,8.2,4.70084626913859,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,58088,16814,,,60224,34245,,,43304,35845,,,,,250001,,,,,,111926,109120,51546,11029,,,2870,535,356,193,2514,567,12.4,6.31470365124711,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,69613,21500,33462,6104,84191,29066,84405,59226,,,,,,,119421,42159,,,,,56723,2690,82977,29952,67391,54309,2245,274,151,163,2094,221,6.7,7.21402227472031,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,112258,16993,95859,51914,112881,17944,105781,48467,116250,32910,,,,,114876,23681,,,,,198052,160090,102630,21340,100956,33138,1860,296,54,52,1806,293,2.9,2.75725790785344,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,96154,23351,38397,31121,134779,72395,89211,54742,92900,91754,33571,19965,,,221389,70502,,,,,87829,59194,96699,33237,,,1680,214,98,62,1582,220,5.8,3.61489736421792,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,109335,44419,61823,52098,153849,45338,138469,49094,26641,15704,29038,12011,,,135368,46687,,,,,125000,61078,71542,55075,94240,42678,3535,447,319,199,3216,442,9,5.51255723587947,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,173264,56633,,,164418,55056,209389,40068,60560,42335,,,,,164526,88823,,,,,153939,145842,208166,19436,104167,92625,1932,318,182,116,1750,362,9.4,5.80047567185178,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,120000,45315,,,142930,57630,,,,,,,,,144727,50233,,,,,,,,,,,1982,365,93,88,1889,369,4.7,4.35506110934934,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,91232,30671,,,118462,37842,,,52054,37552,50733,43718,,,79667,42528,,,,,193315,166934,80536,47280,193043,131714,1916,271,43,40,1873,273,2.2,2.06340924365159,,
53033007302,312981,0,Census Tract 73.02,Washington,King County,132978,13679,,,143025,44229,133489,105320,24826,18802,38103,22458,,,185294,69010,,,,,250001,,134440,26317,101424,41593,3091,303,369,201,2722,318,11.9,6.39658657331218,,
53033007303,313527,0,Census Tract 73.03,Washington,King County,123095,24265,78490,76018,135806,44493,162521,83977,92703,58081,,,,,126824,52041,,,,,,,104159,32227,,,1844,206,0,13,1844,206,0,0.704989154013015,,
53033007403,118559,0,Census Tract 74.03,Washington,King County,85260,23492,,,106680,66876,61149,14426,,,209514,76964,,,56310,11243,,,,,179333,165420,96071,40328,28293,11156,1911,308,246,124,1665,322,12.9,6.1481140809777,,
53033007404,153725,0,Census Tract 74.04,Washington,King County,97794,22442,36696,21971,105167,26921,,,,,108210,53887,,,132059,97360,,,,,,,96691,18611,85625,70727,2046,309,366,218,1680,260,17.9,10.3067349080667,,
53033007405,131830,0,Census Tract 74.05,Washington,King County,76250,30855,,,90478,17515,39877,9835,95322,91005,,,,,109107,80049,,,,,38284,1992,86801,20561,77361,66599,1850,340,110,87,1740,344,5.9,4.57397746360247,,
53033007406,150829,0,Census Tract 74.06,Washington,King County,56801,11331,40373,18978,75909,24552,49219,31770,,,,,,,72292,59760,,,,,29129,28318,62250,18169,55805,35997,1914,267,174,89,1740,285,9.1,4.47367467815614,,
53033007501,298283,0,Census Tract 75.01,Washington,King County,68798,32057,41533,12767,114915,56189,62180,55705,15881,2110,,,,,239530,73356,,,,,,,65119,27089,,,2844,545,208,336,2636,449,7.3,11.7309207078736,,
53033007502,315931,0,Census Tract 75.02,Washington,King County,101375,44641,120096,84053,106102,34822,47157,30691,,,,,,,107195,13440,,,,,111206,26511,,,,,1757,398,175,255,1582,431,10,14.3369319398598,,
53033007503,187541,0,Census Tract 75.03,Washington,King County,64609,47462,,,86642,57027,,,,,,,,,,,,,,,,,97766,74627,,,1662,352,189,161,1473,327,11.4,9.38294255008383,,
53033007901,267231,0,Census Tract 79.01,Washington,King County,69510,22622,104844,33573,69964,25926,122314,89469,,,26495,10130,,,,,,,,,,,85759,21410,,,2032,308,313,149,1719,308,15.4,6.9510369390924,,
53033007902,431244,0,Census Tract 79.02,Washington,King County,75074,31394,,,106250,49148,45729,31434,,,,,,,170174,74386,,,,,54096,10316,107847,41369,,,1930,259,193,97,1737,272,10,4.84343452065972,,
53033008003,197152,0,Census Tract 80.03,Washington,King County,108111,60748,,,132027,27039,65372,64339,,,,,,,146404,24002,,,,,,,75365,73337,89777,69212,2826,383,385,231,2441,381,13.6,7.96284158651847,,
53033008004,284626,526767,Census Tract 80.04,Washington,King County,180086,22184,,,182134,24599,139000,92497,212857,126102,,,,,178088,70579,,,,,159583,151331,197750,32015,,,2154,277,196,120,1958,266,9.1,5.4467525237864,,
53033008101,270324,277671,Census Tract 81.01,Washington,King County,87820,11993,56250,1676,106750,27604,149615,99845,19250,9182,2499,,,,88000,70382,,,,,,,95536,22876,104091,89433,1833,178,165,87,1668,189,9,4.66512766651448,,
53033008102,556705,91220,Census Tract 81.02,Washington,King County,107250,58356,,,136382,20754,,,,,35417,23771,,,136630,30804,,,,,,,101439,21868,,,1460,349,161,122,1299,339,11,7.92950069482814,,
53033008401,250921,0,Census Tract 84.01,Washington,King County,74622,48292,30383,25093,130402,34467,143520,76088,45638,8311,66815,9461,,,106550,58673,,,,,,,73777,47034,,,2153,274,252,150,1901,309,11.7,6.80592136344975,,
53033008402,145446,0,Census Tract 84.02,Washington,King County,70989,10150,69417,14939,75486,19818,59087,34334,,,67370,9527,,,,,,,,,,,70975,21796,,,2099,428,455,383,1644,272,21.7,17.7033333452934,,
53033009801,1004708,0,Census Tract 98.01,Washington,King County,144688,58284,,,173971,18892,144539,104575,,,,,,,,,,,,,,,161547,40743,88906,47944,1461,255,269,102,1192,273,18.4,6.19793350152497,,
53033009802,922319,0,Census Tract 98.02,Washington,King County,113370,31939,,,118487,84114,145556,77680,83816,46008,,,,,,,,,,,136111,85449,130217,31844,,,1764,310,316,149,1448,321,17.9,7.83812917910777,,
53033010101,871622,0,Census Tract 101.01,Washington,King County,,,,,,,106125,21989,,,37621,34896,,,142670,47846,,,,,47000,11687,114079,58556,,,1614,250,221,94,1393,277,13.7,5.42412360505803,,
53033010102,1623225,2170065,Census Tract 101.02,Washington,King County,139407,28441,,,178438,14645,114792,90120,103942,83545,178970,147503,,,138448,40750,,,,,138182,112358,136429,30926,,,1734,220,342,118,1392,241,19.7,6.32828700342569,,
53033010301,1002658,0,Census Tract 103.01,Washington,King County,106250,37627,,,173654,66981,58175,30887,,,55818,44570,,,,,,,,,,,178194,46244,112788,111337,1484,242,175,85,1309,241,11.8,5.39529702204167,,
53033010302,632167,0,Census Tract 103.02,Washington,King County,110538,17824,,,114019,13185,106490,82339,34167,21992,,,,,,,,,,,70574,63828,114346,19919,80966,54712,1586,197,407,184,1179,242,25.7,11.1550330574985,,
53033010501,742016,0,Census Tract 105.01,Washington,King County,103409,16121,38661,19715,116500,38265,126467,41643,,,,,,,,,,,,,103984,12015,125027,35234,,,2102,201,305,169,1797,247,14.5,7.91933419487717,,
53033010502,975912,0,Census Tract 105.02,Washington,King County,111769,25919,20078,15652,131136,45006,133490,52107,82639,36074,86111,84459,,,71080,51963,,,,,,,130852,28263,,,3054,450,741,432,2313,328,24.3,13.6861338770559,,
53033010601,1089233,0,Census Tract 106.01,Washington,King County,140133,17186,,,177772,74731,140972,17031,39107,33170,,,,,,,,,,,101438,52970,146131,13982,88672,20320,1975,252,296,99,1679,253,15,4.63355339724767,,
53033010602,1505061,817134,Census Tract 106.02,Washington,King County,94470,33401,,,,,132885,73045,84904,30784,,,,,250001,,,,,,,,103092,42716,143929,44895,1943,320,429,206,1514,284,22.1,9.95906790167814,,
53033011601,1554538,184845,Census Tract 116.01,Washington,King County,146519,28566,,,146788,40918,196452,22986,84730,35988,,,,,250001,,,,,,,,145904,22345,175918,130144,1377,152,114,64,1263,168,8.3,4.55705631455179,,
53033011602,1565825,786358,Census Tract 116.02,Washington,King County,116842,18242,,,116974,39133,140470,12231,57204,39102,,,,,,,,,,,,,115757,17132,142339,104206,1478,221,239,154,1239,189,16.2,10.1350561792236,,
53033011801,1160802,630417,Census Tract 118.01,Washington,King County,95938,27339,,,88011,46389,99737,53250,116250,79540,105710,55519,,,116220,57622,,,,,77009,54871,105972,88400,,,1137,231,289,203,848,148,25.4,17.0908793274503,,
53033011802,1139611,1037832,Census Tract 118.02,Washington,King County,67143,21645,,,48750,46398,76828,29649,44460,32012,37689,28533,,,86424,40244,,,,,,,104188,22345,,,1872,280,293,121,1579,309,15.7,6.02482361126164,,
53033011901,1682374,0,Census Tract 119.01,Washington,King County,133498,10808,,,152404,98986,134156,13913,,,,,,,179609,63571,,,,,195214,150391,133684,17219,104736,47798,1337,375,293,121,1044,379,21.9,6.64256305319813,,
53033011902,1580686,1217487,Census Tract 119.02,Washington,King County,115917,22444,,,96667,33895,128472,14102,61484,43676,58313,28780,,,118482,54548,,,,,127813,32558,137944,28594,138295,78008,1229,198,275,87,954,191,22.4,6.09227667080752,,
