,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,1127,114,0,13,21,24,15,20,0,13,17,18,19,20,48,49,55,51,9,15,53,43,92,71,107,50,263,115,121,52,155,56,152,59,329,119,29.2,10.137693327997,9.5,4.33136469692759,691,150,61.3,11.7763309749001,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,2546,435,54,54,41,35,52,38,80,78,14,22,83,60,83,91,52,45,93,60,289,178,252,152,441,384,210,132,166,89,172,92,464,191,1093,291,42.9,8.76570187438657,17.3,14.7892841997468,1012,265,39.7,7.88763396565824,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,1263,87,51,41,10,15,0,13,0,13,28,25,10,14,17,24,10,16,38,30,27,24,79,61,86,58,163,76,110,52,202,97,432,99,270,95,21.4,7.3762193122287,6.8,4.56822448649547,907,166,71.8,12.1768741934173,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,2345,234,83,56,63,40,171,116,31,31,43,42,89,84,54,56,77,47,94,68,56,48,342,136,285,132,290,165,100,83,294,135,273,108,1103,242,47.0,9.1907039399889,12.2,5.49680171567605,957,253,40.8,9.99083724750684,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,1144,127,9,14,0,13,16,18,8,11,10,15,17,15,55,46,24,34,26,23,59,36,36,30,262,84,97,52,89,57,126,79,310,113,260,85,22.7,6.98857513403106,22.9,6.88843586734598,622,158,54.4,12.4224330984441,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,892,111,9,8,0,13,5,8,5,7,36,35,8,9,37,54,27,19,12,12,23,25,67,36,135,72,90,40,54,25,105,39,279,48,229,84,25.7,8.85858925055687,15.1,7.84896095319359,528,78,59.2,4.71249521219139,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,769,81,71,33,12,13,0,13,8,9,9,12,28,20,29,16,4,6,3,6,62,58,40,25,69,35,70,32,103,38,129,42,132,44,266,80,34.6,9.74423554107995,9.0,4.45215655593623,434,79,56.4,8.37842679524041,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,1076,153,24,23,0,13,9,15,7,11,30,46,0,13,25,25,21,24,22,28,92,70,24,24,132,77,108,54,167,78,144,57,271,126,254,104,23.6,9.06386632390031,12.3,6.94027331652411,690,168,64.1,12.6741282064765,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,2410,220,57,45,119,71,27,31,163,108,7,20,120,107,64,57,85,84,67,63,253,117,68,46,457,143,375,173,200,116,155,161,193,101,1030,248,42.7,9.52219498044742,19.0,5.67549641025918,923,282,38.3,11.1667386417108,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,2248,232,39,42,0,18,81,93,43,42,149,110,0,18,50,40,12,20,35,41,170,110,166,78,309,116,182,87,242,114,217,128,553,179,745,216,33.1,8.97921394479518,13.7,4.96132035621639,1194,263,53.1,10.3356888877889,,,98133,53033001400
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,1124,128,75,53,8,13,8,13,34,38,0,13,0,13,37,58,9,14,10,17,0,13,48,34,134,63,43,29,143,84,163,86,412,81,229,101,20.4,8.68106900202145,11.9,5.43807504647156,761,148,67.7,10.673825118293,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,1841,239,23,26,8,12,25,28,21,30,20,23,43,51,24,23,29,21,0,13,28,25,112,56,107,57,151,86,49,24,284,98,917,220,333,103,18.1,5.07814870532384,5.8,3.00279782099853,1401,257,76.1,9.86278584416674,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,2142,217,35,39,36,51,96,112,97,98,66,64,33,33,15,23,72,53,51,47,159,90,68,57,347,152,303,123,343,167,246,115,175,86,728,220,34.0,9.67645297273653,16.2,6.90378563779668,1067,252,49.8,10.6274049215015,,,98103,53033001701
13,53033001702,1280220,0,Census Tract 17.02,Washington,King County,2276,223,101,60,13,22,38,41,42,43,46,54,12,20,101,112,13,20,61,51,63,54,305,151,401,160,247,139,237,125,174,96,422,156,795,228,34.9,9.41483714520156,17.6,6.81463257522184,1080,262,47.5,10.5307752232126,,,98117,53033001702
14,53033001800,946085,0,Census Tract 18,Washington,King County,2318,239,19,32,0,18,37,45,23,37,44,41,77,70,22,35,212,190,11,18,104,90,122,88,418,160,280,119,269,110,297,134,383,128,671,255,28.9,10.5882406916538,18.0,6.64737344843999,1229,246,53.0,9.09630293101301,,,98103,53033001800
15,53033001900,1667272,0,Census Tract 19,Washington,King County,2261,153,99,51,24,35,17,18,66,62,26,24,42,25,37,45,25,22,50,32,112,46,183,75,272,90,184,66,219,111,316,96,589,98,681,143,30.1,5.98723054143666,12.0,3.89640772630857,1308,188,57.9,7.33572070845686,,,98115,53033001900
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,1516,122,43,37,43,33,9,13,14,20,28,25,4,6,19,21,31,32,29,28,54,40,141,82,196,76,142,58,139,65,161,53,463,113,415,119,27.4,7.5341348917098,12.9,4.9040373657295,905,152,59.7,8.80052497206017,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,1829,234,83,73,24,39,11,18,10,16,56,57,45,33,16,25,89,87,0,13,72,72,98,49,171,79,135,69,220,84,257,139,542,138,504,166,27.6,8.36329393382179,9.3,4.15037182088819,1154,224,63.1,9.21037824450168,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,2338,192,115,88,112,96,29,32,13,21,47,41,15,24,51,65,43,39,43,39,58,44,65,47,265,105,93,57,228,116,313,169,848,164,591,179,25.3,7.36932087769502,11.3,4.39350052617097,1482,269,63.4,10.2606501417531,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,1363,242,8,13,8,13,5,8,15,16,0,13,45,33,38,39,21,24,10,16,23,20,78,41,133,87,118,50,151,67,189,95,521,220,251,80,18.4,4.87437215841992,9.8,6.14335679976688,979,254,71.8,13.5883131934573,,,98115,53033002400
20,53033002500,984334,0,Census Tract 25,Washington,King County,1299,129,28,21,14,16,45,30,20,15,20,20,6,11,26,20,28,29,7,10,33,26,57,37,116,75,150,65,99,45,140,59,510,122,284,76,21.9,5.43288742269401,8.9,5.70516093697958,899,157,69.2,9.94192662640471,,,98115,53033002500
21,53033002600,1216627,28175,Census Tract 26,Washington,King County,1874,202,0,18,8,12,36,42,87,75,62,50,52,80,88,78,8,13,7,13,97,76,97,59,163,69,128,56,79,53,408,165,554,122,542,180,28.9,9.08511704574747,8.7,3.56059476503933,1169,219,62.4,9.55803668974952,,,98115,53033002600
22,53033002700,1584847,0,Census Tract 27,Washington,King County,2376,224,83,79,60,80,10,18,14,24,108,84,88,105,30,26,16,25,24,28,61,48,146,109,156,91,164,95,104,91,315,106,997,181,640,219,26.9,8.86045050682925,6.6,3.77961642633379,1580,248,66.5,8.34523283313888,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,2226,288,30,35,52,84,11,18,35,40,0,13,74,78,54,53,0,13,14,22,212,217,99,63,236,124,236,130,268,136,242,81,663,161,581,266,26.1,11.4626142528836,10.6,5.39900803277226,1409,261,63.3,8.39110244754128,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,2095,268,74,60,65,64,56,47,24,33,0,13,48,45,26,28,47,41,0,13,88,79,128,81,226,162,219,84,104,68,369,222,621,145,556,169,26.5,7.31761983699534,10.8,7.60856330579977,1313,286,62.7,11.049288123242,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,2641,249,34,38,0,18,0,18,0,18,13,23,34,46,137,95,0,18,94,76,103,63,254,125,289,133,349,188,190,93,397,138,747,181,669,199,25.3,7.14651136503572,10.9,4.92915481269127,1683,310,63.7,10.0837137115994,,,98117,53033003000
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,2697,247,105,92,20,34,20,31,0,18,0,18,83,68,70,67,0,18,0,18,70,54,150,101,233,108,263,122,181,135,468,167,1034,221,518,185,19.2,6.63010633939693,8.6,3.92550683418842,1946,331,72.2,10.3419885221008,,,98117,53033003100
27,53033003400,787161,0,Census Tract 34,Washington,King County,1524,136,11,17,16,18,39,31,49,48,18,20,23,25,0,13,8,12,7,12,56,38,104,59,157,52,153,73,161,65,226,70,496,136,331,101,21.7,6.33754438792978,10.3,3.28589238682859,1036,182,68.0,10.2867239939495,,,98107,53033003400
28,53033003500,1284745,0,Census Tract 35,Washington,King County,1853,166,77,51,0,13,103,119,34,25,47,36,87,78,41,29,61,38,41,37,70,41,138,55,184,64,135,47,98,44,276,81,461,100,699,182,37.7,9.22224766491645,9.9,3.33733769962343,970,144,52.3,6.19674187792448,,,98103,53033003500
29,53033003800,624606,0,Census Tract 38,Washington,King County,941,111,46,53,25,24,6,9,22,20,24,25,6,9,7,10,7,10,23,19,34,25,47,28,141,71,58,32,86,41,90,37,319,89,247,81,26.2,8.03170916796109,15.0,7.33521677551502,553,110,58.8,9.41243801574812,,,98115,53033003800
30,53033003900,973808,0,Census Tract 39,Washington,King County,1142,142,10,16,30,29,29,23,12,18,22,18,74,47,12,13,7,11,7,11,35,22,15,15,167,56,81,47,46,25,202,84,393,132,253,75,22.2,5.96176353425805,14.6,4.55408970438822,722,165,63.2,12.1224864432272,,,98115,53033003900
31,53033004000,2574586,3232248,Census Tract 40,Washington,King County,1389,143,78,46,47,36,8,13,8,13,18,19,87,92,24,24,22,22,9,14,64,43,107,64,149,75,67,38,94,63,76,42,531,135,472,141,34.0,9.52930130427207,10.7,5.28542181969281,768,159,55.3,9.93140041590961,,,98115,53033004000
32,53033004301,979236,0,Census Tract 43.01,Washington,King County,1340,101,92,63,79,57,40,40,28,24,28,45,45,33,24,36,8,12,11,12,73,55,128,61,101,45,78,34,72,35,96,47,437,90,556,144,41.5,10.28112435461,7.5,3.30980624043814,683,113,51.0,7.50689330766518,,,98105,53033004301
33,53033004302,331137,0,Census Tract 43.02,Washington,King County,1479,180,288,102,117,63,60,39,35,26,114,65,59,52,74,57,74,47,100,75,49,39,189,111,149,66,22,25,70,50,50,37,29,31,1159,220,78.4,11.4151421409207,10.1,4.29073219263746,171,74,11.6,4.8014394760713,,,98105,53033004302
34,53033004500,670997,0,Census Tract 45,Washington,King County,1005,122,0,13,8,14,30,37,13,16,15,17,54,31,31,31,47,56,0,13,22,33,91,53,94,49,101,58,48,28,105,52,346,103,311,107,30.9,9.96202951122462,9.4,4.74157316258632,600,132,59.7,10.953837985585,,,98105,53033004500
35,53033004600,1552358,1033232,Census Tract 46,Washington,King County,1363,155,22,23,0,13,29,27,12,18,0,13,20,19,19,20,0,13,28,26,59,46,82,39,189,56,174,125,131,55,185,65,413,99,271,85,19.9,5.81191946075612,13.9,3.79392619548353,903,181,66.3,10.935456940611,,,98103,53033004600
36,53033004800,1278329,26886,Census Tract 48,Washington,King County,2340,419,91,80,0,18,0,18,0,18,33,37,43,32,16,26,51,44,111,95,41,42,323,354,179,82,256,100,134,84,253,100,809,201,709,385,30.3,15.5327524615663,7.6,3.22548745337942,1452,260,62.1,0.0697856884444249,,,98107,53033004800
37,53033005000,757380,0,Census Tract 50,Washington,King County,2328,313,32,38,150,158,17,27,33,38,63,58,52,51,0,13,166,183,30,25,73,52,168,94,341,159,125,78,292,255,339,134,447,139,784,283,33.7,11.2816386711108,14.6,6.53979940694178,1203,329,51.7,12.3065339962232,,,98103,53033005000
38,53033005100,881731,0,Census Tract 51,Washington,King County,1604,132,76,47,0,13,41,31,0,13,20,23,43,43,38,29,9,13,18,20,138,75,55,37,183,85,101,44,106,50,272,74,504,96,438,120,27.3,7.1358215675606,11.4,5.2154146087057,983,138,61.3,6.97027461553389,,,98103,53033005100
39,53033005600,3022785,1546484,Census Tract 56,Washington,King County,2774,217,85,64,0,18,19,29,38,41,34,37,21,33,22,36,75,95,7,14,69,55,254,111,118,86,190,91,150,77,535,197,1157,198,624,188,22.5,6.54478642839902,4.3,3.08230644479978,2032,304,73.3,9.34142787760858,,,98199,53033005600
