,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,All Owner-Occupied Housing Units,All Owner-Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units with a Householder who is not a high school graduate,Owner-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,All Renter-Occupied Housing Units,All Renter-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units with a Householder who is not a high school graduate,Renter-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied - Margin of Error,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree - Margin of Error,Renter Rate among Households with a householder who does not hold a bachelor's degree,Renter Rate among Households with a householder who does not hold a bachelor's degree - Margin of Error,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Renter Rate among Households with a Householder who holds a bachelor's degree or higher,Renter Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Households with a Householder who does not hold a bachelor's degree,Households with a Householder who does not hold a bachelor's degree - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied - Margin of Error,Households with a Householder who holds a bachelor's degree or higher,Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Percent Difference Home Ownership with and without Bachelor's Degree,x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,1127,114,786,122,48,49,52,43,226,59,460,121,341,102,37,32,31,33,62,42,211,86,69.7,8.21071998119175,30.3,8.51736221364694,71.5,9.25878809939099,28.5,11.8014415351393,68.6,9.82563415029538,31.4,10.7778332879599,456,108,326,88,130,62,671,148,-2.9000000000000057,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,2546,435,1050,243,21,31,48,40,334,213,647,138,1496,430,66,77,320,152,513,388,597,187,41.2,6.43776096333635,58.8,13.5815510469608,31.0,12.4230821284413,69.0,20.5084761609143,52.0,5.38320602106455,48.0,12.0774049397022,1302,477,403,219,899,424,1244,232,21.0,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,1263,87,1147,110,8,13,36,29,153,87,950,114,116,63,0,13,9,13,38,45,69,35,90.8,6.05972269870358,9.2,4.94783965260509,80.7,15.6719771503305,19.3,18.2914239108488,93.2,2.57378829352875,6.8,3.34247340624021,244,105,197,93,47,49,1019,119,12.5,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,2345,234,1051,204,44,39,184,141,112,70,711,163,1294,194,101,98,201,114,520,169,472,164,44.8,7.46171718373092,55.2,6.17424050794976,29.3,12.0566099174542,70.7,9.58377937496646,60.1,7.21936632323035,39.9,11.4667863034921,1162,278,340,162,822,226,1183,231,30.8,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,1144,127,893,134,0,13,34,23,100,45,759,147,251,76,10,14,1,2,62,40,178,66,78.1,7.88079365591364,21.9,6.18073695917366,64.7,13.857842150786,35.3,16.7746046429702,81.0,7.23904392763348,19.0,6.24179462922749,207,67,134,52,73,42,937,161,16.299999999999997,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,892,111,711,118,0,13,18,15,59,32,634,112,181,63,0,13,4,6,33,19,144,58,79.7,8.75295407664041,20.3,6.59597854266744,67.5,20.0061542604825,32.5,16.705547632617,81.5,5.74981595184553,18.5,6.82580428479425,114,45,77,38,37,24,778,126,14.0,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,769,81,527,79,11,12,24,16,68,29,424,74,242,56,0,13,41,27,108,45,93,35,68.5,7.30961225571397,31.5,6.48404205231914,40.9,9.04178707437801,59.1,15.0529211195864,82.0,5.97269563186179,18.0,6.13925168947381,252,65,103,35,149,54,517,82,41.1,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,1076,153,746,119,0,13,76,59,45,30,625,119,330,149,24,38,28,44,76,56,202,119,69.3,5.01242053515505,30.7,13.142971974138,48.6,17.4388848811532,51.4,24.2551723704453,75.6,21.0416733113033,24.4,13.506776830214,249,105,121,67,128,81,827,168,26.999999999999996,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,2410,220,1075,169,27,31,52,57,214,138,782,172,1335,213,124,100,230,113,389,129,592,184,44.6,5.70912099679608,55.4,7.2486409006512,28.3,12.9878650718545,71.7,8.33373973578535,56.9,6.90978047974485,43.1,10.8115136495665,1036,250,293,152,743,199,1374,252,28.6,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,2248,232,1464,240,0,18,154,112,205,99,1105,211,784,150,22,35,17,27,122,80,623,151,65.1,8.29505560142481,34.9,5.61862939486285,69.0,17.240125282338,31.0,14.0155086363661,63.9,7.56539018623199,36.1,6.86723304342428,520,176,359,151,161,91,1728,259,-5.100000000000001,,,98133,53033001400
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,1124,128,882,124,0,13,62,68,184,86,636,99,242,83,0,13,11,17,109,66,122,60,78.5,6.4693536555554,21.5,6.96541210342311,67.2,18.2575234135849,32.8,14.8254801860767,83.9,2.38894512199218,16.1,7.52259379642507,366,130,246,110,120,69,758,116,16.700000000000003,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,1841,239,1477,193,8,12,61,37,207,72,1201,193,364,159,0,13,32,30,82,53,250,154,80.2,1.19347118791576,19.8,8.24636823952446,70.8,9.63062545730434,29.2,13.8971682818053,82.8,19.3763750755576,17.2,10.2000749445468,390,103,276,82,114,62,1451,247,12.0,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,2142,217,723,159,49,48,30,33,155,88,489,140,1419,235,28,32,192,122,303,142,896,229,33.8,6.58845052438493,66.2,8.67889503137816,30.9,10.8423367412742,69.1,15.4186548661027,35.3,7.44999173988498,64.7,10.8016954471518,757,217,234,106,523,190,1385,268,4.399999999999999,,,98103,53033001701
13,53033001702,1280220,0,Census Tract 17.02,Washington,King County,2276,223,1109,190,98,77,68,62,205,94,738,182,1167,193,13,20,229,145,334,146,591,163,48.7,6.84811514012782,51.3,6.83142657602451,39.2,10.0491436288022,60.8,14.9692257694921,55.5,9.14315016338043,44.5,9.15251005054016,947,248,371,136,576,207,1329,244,16.299999999999997,,,98117,53033001702
14,53033001800,946085,0,Census Tract 18,Washington,King County,2318,239,915,169,23,37,41,38,117,74,734,172,1403,290,32,41,59,70,427,147,885,225,39.5,6.04901399853267,60.5,10.8431652820098,25.9,10.9279956344821,74.1,12.9467152934668,45.3,7.07555088093414,54.7,10.0915481603136,699,191,181,91,518,168,1619,283,19.4,,,98103,53033001800
15,53033001900,1667272,0,Census Tract 19,Washington,King County,2261,153,1233,138,0,13,75,49,194,97,964,148,1028,142,19,20,30,35,228,86,751,130,54.5,4.86156818321096,45.5,5.47517153908804,49.3,15.0781116420788,50.7,11.0097366765343,56.2,5.72560485511438,43.8,5.67071379820979,546,145,269,109,277,95,1715,197,6.900000000000006,,,98115,53033001900
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,1516,122,988,116,0,13,53,37,220,89,715,126,528,135,0,13,39,37,167,72,322,119,65.2,5.57154858208214,34.8,8.45242301603628,57.0,13.4810634356981,43.0,12.7688363962475,68.9,3.91459862777661,31.1,10.2396686525298,479,127,273,97,206,82,1037,173,11.900000000000006,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,1829,234,1232,217,9,15,121,141,164,97,938,164,597,127,24,39,44,70,175,71,354,90,67.4,8.15455290672381,32.6,5.54757628951571,54.7,24.5311341577273,45.3,10.3575851198712,72.6,7.12089655173757,27.4,5.72691926606025,537,202,294,172,243,107,1292,187,17.89999999999999,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,2338,192,1898,193,0,18,52,64,272,108,1574,214,440,153,0,18,0,18,45,41,395,152,81.2,4.86819308424654,18.8,6.35894075969543,87.8,11.7164258442849,12.2,12.2069368828466,79.9,2.23160503961095,20.1,7.24345162300173,369,136,324,127,45,48,1969,262,-7.899999999999991,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,1363,242,988,225,24,33,24,22,97,60,843,225,375,97,0,13,0,13,40,40,335,100,72.5,10.3375922119499,27.5,5.17538456717908,78.4,15.7535726126616,21.6,21.663040501458,71.6,11.8948711008701,28.4,6.06586280259102,185,84,145,72,40,44,1178,246,-6.800000000000011,,,98115,53033002400
20,53033002500,984334,0,Census Tract 25,Washington,King County,1299,129,873,144,10,16,34,26,85,63,744,127,426,75,0,13,29,30,68,51,329,83,67.2,8.85127371036428,32.8,4.76749779464075,57.1,20.1901904683868,42.9,20.4102655633606,69.3,6.60386060403914,30.7,6.40071778177232,226,93,129,70,97,61,1073,152,12.199999999999996,,,98115,53033002500
21,53033002600,1216627,28175,Census Tract 26,Washington,King County,1874,202,1178,148,0,18,17,26,129,69,1032,165,696,177,0,18,17,27,97,66,582,163,62.9,4.0571431715336,37.1,8.55465231339056,56.2,18.1748709477096,43.8,22.1476207241967,63.9,4.47627863545842,36.1,8.66753607957975,260,106,146,76,114,74,1614,232,7.699999999999996,,,98115,53033002600
22,53033002700,1584847,0,Census Tract 27,Washington,King County,2376,224,1642,226,29,32,26,34,184,84,1403,218,734,218,0,18,0,18,244,138,490,167,69.1,6.93008706482734,30.9,8.70057979112797,49.5,9.5772460444069,50.5,22.8913236346223,74.1,4.08601557572251,25.9,7.98041792379803,483,170,239,96,244,140,1893,275,24.599999999999994,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,2226,288,1281,227,13,21,95,134,265,136,908,175,945,241,0,13,132,102,256,201,557,164,57.5,6.96832378899503,42.5,9.32990113395997,49.0,16.5253147102678,51.0,22.1059161561578,62.0,6.29253198349632,38.0,9.30172660027452,761,296,373,192,388,226,1465,240,13.0,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,2095,268,1454,284,0,13,46,44,301,199,1107,217,641,116,0,13,19,22,191,97,431,106,69.4,10.244157931563,30.6,3.91645441825771,62.3,26.288457689139,37.7,9.17341285267313,72.0,8.41472960500353,28.0,5.29695628342714,557,228,347,204,210,100,1538,242,9.700000000000005,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,2641,249,1798,219,0,18,94,69,280,110,1424,252,843,194,34,52,15,23,216,165,578,164,68.1,5.24993103423758,31.9,6.70092752134581,58.5,4.64500734947534,41.5,23.4489144212329,71.1,6.63905284440698,28.9,6.94719282952662,639,218,374,131,265,175,2002,301,12.599999999999994,,,98117,53033003000
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,2697,247,2063,252,0,18,96,69,380,126,1587,237,634,147,0,18,156,109,105,67,373,146,76.5,6.18296693664218,23.5,5.00729149081688,64.6,9.90188241299269,35.4,14.8145127232044,81.0,3.78421738405295,19.0,6.94272287518545,737,194,476,145,261,129,1960,278,16.400000000000006,,,98117,53033003100
27,53033003400,787161,0,Census Tract 34,Washington,King County,1524,136,1090,144,0,13,26,38,124,67,940,152,434,117,18,20,51,49,77,54,288,93,71.5,6.96728068847908,28.5,7.24434813362478,50.7,18.6054218967952,49.3,18.1475361604674,76.5,5.48622347047381,23.5,6.76742800901502,296,109,150,78,146,76,1228,178,25.8,,,98107,53033003400
28,53033003500,1284745,0,Census Tract 35,Washington,King County,1853,166,1007,127,0,13,34,25,99,47,874,128,846,165,12,18,34,26,194,69,606,165,54.3,4.82416094919798,45.7,7.9095713304933,35.7,11.6909206443825,64.3,12.3378536764402,59.1,2.29209440887269,40.9,9.5319549372203,373,94,133,55,240,76,1480,209,23.4,,,98103,53033003500
29,53033003800,624606,0,Census Tract 38,Washington,King County,941,111,554,97,0,13,6,9,44,27,504,96,387,94,0,13,0,13,82,47,305,80,58.9,7.61772752639339,41.1,8.73228685238859,37.9,16.2754572962673,62.1,25.7649993435298,62.3,6.93937990764343,37.7,7.99087883157268,132,59,50,31,82,50,809,125,24.4,,,98115,53033003800
30,53033003900,973808,0,Census Tract 39,Washington,King County,1142,142,856,147,0,13,18,18,52,27,786,154,286,71,12,18,27,30,53,36,194,55,75.0,8.87830815047736,25.0,5.38107416190168,43.2,14.2143557630422,56.8,22.2559204948229,80.2,8.17258671030619,19.8,4.53020302708781,162,61,70,35,92,50,980,164,37.0,,,98115,53033003900
31,53033004000,2574586,3232248,Census Tract 40,Washington,King County,1389,143,1008,145,0,13,17,20,166,102,825,150,381,86,28,30,38,37,48,48,267,77,72.6,7.29087735761263,27.4,5.50999585034589,61.6,24.0284432061879,38.4,16.2244114856197,75.5,7.2095729038087,24.5,5.94994282330183,297,125,183,105,114,68,1092,169,13.9,,,98115,53033004000
32,53033004301,979236,0,Census Tract 43.01,Washington,King County,1340,101,704,76,0,13,36,38,92,55,576,60,636,102,6,11,36,36,202,72,392,100,52.5,4.06038137296666,47.5,6.71891080636859,34.4,15.4276524848199,65.6,11.1713286373477,59.5,9.49453869540709,40.5,9.09743375993686,372,106,128,68,244,81,968,117,25.1,,,98105,53033004301
33,53033004302,331137,0,Census Tract 43.02,Washington,King County,1479,180,75,58,0,13,0,13,0,13,75,58,1404,175,21,26,79,44,564,141,740,135,5.1,3.87270120818677,94.9,2.55475000217297,0.0,3.46385542168675,100.0,32.1612847429758,9.2,6.92029308500796,90.8,2.48483799570944,664,152,0,23,664,150,815,147,9.2,,,98105,53033004302
34,53033004500,670997,0,Census Tract 45,Washington,King County,1005,122,589,103,12,15,38,32,50,34,489,106,416,101,8,14,8,12,96,61,304,97,58.6,7.37707366546419,41.4,8.70336845963002,47.2,14.7439105336183,52.8,22.6697030882249,61.7,7.29995771016978,38.3,10.0579824808754,212,80,100,49,112,64,793,144,14.5,,,98105,53033004500
35,53033004600,1552358,1033232,Census Tract 46,Washington,King County,1363,155,875,122,22,35,26,22,69,40,758,119,488,139,17,28,8,12,69,40,394,136,64.2,5.17894041316044,35.8,9.35005707594451,55.5,18.886340107316,44.5,17.4369460035113,65.8,14.6144918696181,34.2,10.5116585838469,211,76,117,58,94,50,1152,181,10.299999999999995,,,98103,53033004600
36,53033004800,1278329,26886,Census Tract 48,Washington,King County,2340,419,1258,199,15,25,41,36,168,97,1034,189,1082,405,0,18,32,38,175,100,875,398,53.8,12.8448369974089,46.2,15.1988279021763,52.0,16.3985863864793,48.0,18.4664930786151,54.2,15.9556975616113,45.8,17.959624309786,431,152,224,106,207,108,1909,441,2.200000000000003,,,98107,53033004800
37,53033005000,757380,0,Census Tract 50,Washington,King County,2328,313,492,131,0,13,0,13,32,38,460,135,1836,324,66,65,174,170,385,193,1211,313,21.1,4.8570386924174,78.9,9.01456422330005,4.9,6.07368523567582,95.1,10.4804249297756,27.5,5.80615958150618,72.5,11.4952235487039,657,269,32,42,625,265,1671,341,22.6,,,98103,53033005000
38,53033005100,881731,0,Census Tract 51,Washington,King County,1604,132,1015,119,6,10,31,34,80,68,898,114,589,86,10,16,80,56,103,51,396,82,63.3,5.28417979122467,36.7,4.42886158580452,37.7,20.9965225951875,62.3,11.7369950425112,69.4,4.60881001990451,30.6,5.40317608588391,310,109,117,77,193,77,1294,140,31.700000000000003,,,98103,53033005100
39,53033005600,3022785,1546484,Census Tract 56,Washington,King County,2774,217,2482,209,0,18,72,68,445,160,1965,268,292,136,0,18,56,89,77,69,159,79,89.5,2.78855285912791,10.5,4.83302219951183,79.5,8.41356597107954,20.5,16.2576792385934,92.5,3.39536879290354,7.5,3.5870614669007,650,209,517,175,133,114,2124,279,13.0,,,98199,53033005600
