Rank,Zipcode,Population
18,98003,50501
46,98006,39595
3,98012,75045
14,98023,51811
48,98026,39340
47,98030,39526
41,98031,41464
49,98032,38985
45,98033,39726
9,98034,52841
42,98036,41132
24,98042,48639
2,98052,75765
36,98058,42366
43,98059,41076
39,98087,41958
17,98092,50845
11,98103,52210
22,98105,49448
8,98115,53729
23,98118,48937
40,98122,41541
32,98125,43386
19,98133,50153
35,98204,42496
5,98208,60087
29,98223,45253
20,98225,50046
28,98226,45373
15,98258,51374
10,98270,52756
44,98277,40112
33,98374,42974
12,98387,52017
7,98391,55662
25,98501,46170
38,98503,42023
16,98632,50944
21,98661,49822
4,98682,66229
30,98801,44861
27,98837,45729
26,98902,45913
31,99205,43901
37,99206,42139
6,99208,57606
1,99301,84124
13,99336,51839
34,99362,42706
50,98908,38936
51,98198,38919
52,98004,38632
53,98290,38516
54,98038,37624
55,98584,37360
56,98604,37041
57,98056,36950
58,98366,36620
59,98662,36573
60,98117,36365
61,98203,36164
62,98513,36117
63,98155,36081
64,98502,35954
65,98002,35915
66,98404,35357
67,98001,35297
68,98444,35083
69,99163,34815
70,99352,34772
71,98607,34674
72,98168,34614
73,98684,34394
74,98021,34359
75,98229,34182
76,99223,34013
77,98499,33589
78,98370,33071
79,99207,32732
80,98926,32559
81,99337,32393
82,98445,32304
83,98338,31996
84,98375,31973
85,98683,31969
86,98901,31873
87,98312,31762
88,98144,31648
89,98272,31517
90,98029,31480
90,98802,31480
92,98273,30924
93,98367,30710
94,98201,30669
95,98074,30370
96,98382,30366
97,98512,30251
98,98685,30199
99,98466,29989
100,98109,29376
101,98373,29283
102,98271,29120
103,98498,29062
104,98037,28938
105,98007,28576
106,98409,28403
107,98335,28128
108,98146,27879
109,98027,27808
110,99216,27597
111,98188,27524
112,98106,27489
113,98011,27396
114,98116,27190
115,98665,27175
116,98311,27170
117,98284,27159
118,98372,27127
119,98107,27116
120,98296,27032
121,98626,26579
122,98531,26501
123,98248,26404
124,98516,26336
125,98178,26282
126,98597,26222
127,98532,26100
128,98119,26094
129,98008,26091
130,98075,25762
131,98040,25506
132,99354,25433
133,98102,25396
134,98944,25194
135,98520,25064
136,98072,24931
137,98055,24668
138,98110,24557
139,98362,24462
140,98112,24412
141,98292,24141
142,98405,24053
143,98671,23782
144,98108,23759
145,99224,23705
146,98028,23556
147,98664,23141
148,98642,22934
149,98199,22890
150,98053,22857
151,98371,22741
152,98406,22708
153,98221,22707
154,98166,22599
155,98383,22541
156,98126,22030
157,98408,22016
158,98022,22007
159,98264,22005
160,98422,22002
161,99004,21836
162,98310,21635
163,98005,21603
164,99203,21500
165,98275,21409
166,98043,21265
167,98121,21010
168,98407,20993
169,98177,20561
170,98686,20547
171,99202,20526
172,99403,20492
173,99212,20395
174,98433,19771
175,98332,19722
176,99217,19226
177,99344,19198
178,98020,18594
179,98230,18413
180,98506,18232
181,98274,18052
182,98942,17949
183,99016,17913
184,99353,17685
185,98903,17577
186,99338,17266
187,98136,17245
188,98282,17235
189,98321,16749
190,98368,16702
191,98233,16615
192,98065,15779
193,99037,15647
194,98045,15611
195,98674,15426
196,98467,15382
197,98663,15263
198,99218,15233
199,98930,14952
200,98360,14591
201,98101,14528
202,98104,14469
203,98363,14245
204,99201,14147
205,99350,14101
206,98077,13862
207,99006,13649
208,98579,13440
209,99114,13134
210,98528,13082
211,98446,13068
212,98951,13061
213,98948,12972
214,98660,12917
215,98848,12782
216,98823,12514
217,98057,12351
218,99019,12261
219,98424,12019
220,98550,11691
221,98390,11413
222,98580,11358
223,98019,11290
224,98329,11175
225,99005,11159
226,98148,11068
227,98070,10886
228,98328,10505
229,98541,10343
230,98252,10246
231,99021,10139
232,99324,10045
233,98327,9974
234,98418,9813
235,99320,9756
236,98606,9551
237,98611,9478
238,98346,9371
239,98841,9135
240,99156,8901
241,98629,8872
242,99022,8740
243,98337,8582
244,98250,8568
245,99026,8521
246,98403,8441
247,99001,8400
248,98354,8185
249,98247,8068
250,99349,7856
250,98596,7856
252,98014,7736
253,98620,7711
254,98589,7699
255,98563,7636
256,98936,7589
257,98826,7505
258,98815,7451
259,98239,7409
260,99204,7375
261,98922,7162
262,98577,7121
263,98465,7092
264,98675,7083
265,98672,7062
266,98047,7024
267,98388,6975
268,98294,6936
269,98569,6826
270,98402,6805
271,98953,6684
272,98315,6407
273,98625,6397
274,98816,6219
275,98236,6184
276,99326,6116
277,98439,6095
278,98260,5979
279,98010,5963
280,98331,5951
281,99025,5910
282,99141,5902
283,98855,5870
284,99027,5832
285,98380,5753
286,98443,5688
287,98024,5503
288,98812,5403
289,98576,5277
290,98349,5272
291,98851,5212
292,98932,5109
293,98359,4991
294,98840,4895
295,98365,4779
296,99109,4743
297,98844,4736
298,98251,4706
299,98640,4694
300,99009,4677
301,98570,4674
302,98257,4513
303,99323,4494
304,98937,4483
305,98237,4474
306,98266,4373
307,98935,4347
308,98524,4326
309,98051,4272
310,99122,4269
311,98249,4229
312,99003,4147
313,98245,4122
314,99111,4057
315,99357,4047
316,98232,4030
317,98831,3691
318,98557,3650
319,99328,3616
320,98591,3582
321,98333,3534
322,98631,3458
323,98857,3431
324,99011,3343
325,98240,3328
326,98339,3304
327,98648,3283
328,98244,3244
329,98601,3237
330,98392,3231
331,98612,3209
332,98947,3172
333,98261,3034
334,98340,3017
335,99166,2934
336,98610,2932
337,98039,2928
338,98295,2927
339,98546,2920
340,98847,2780
341,98595,2698
342,98537,2688
343,98564,2684
344,99343,2660
345,99169,2643
346,98813,2642
347,98856,2595
348,98568,2549
349,98862,2546
350,98278,2515
351,98938,2401
352,99347,2367
353,98356,2350
354,99148,2318
355,98253,2275
356,98195,2259
357,98548,2197
358,99181,2143
359,98645,2137
360,98843,2066
361,98377,2057
362,98376,2044
363,98828,2002
364,98624,1994
365,98952,1956
366,98850,1924
367,98635,1877
368,98586,1863
369,98241,1854
370,98822,1831
371,98314,1773
372,98858,1747
373,98325,1737
374,99116,1706
375,99361,1680
376,99348,1657
377,99110,1656
378,99173,1638
379,99101,1612
380,98303,1564
381,98638,1560
382,99036,1549
383,98357,1547
384,98592,1543
385,99119,1491
386,98588,1490
387,99360,1460
388,98320,1456
389,99402,1449
390,99133,1440
391,99013,1436
392,98276,1397
393,98207,1376
394,98351,1375
395,99161,1373
396,99159,1341
397,98342,1331
398,98547,1317
399,99031,1313
400,98603,1307
401,98447,1303
402,98846,1277
403,99115,1261
404,99251,1258
405,98593,1247
406,99155,1245
406,98605,1245
408,99029,1240
409,99185,1235
410,98281,1210
411,98933,1188
412,98394,1186
413,99330,1183
414,98639,1177
415,98849,1164
416,99138,1152
417,98650,1133
418,98821,1131
419,98304,1114
420,98617,1100
421,99012,1081
422,98416,1057
423,98934,1046
424,98651,1035
425,99123,1031
426,99170,980
427,98421,950
428,99171,941
429,98326,931
430,98358,924
431,98262,887
432,98572,884
433,99023,883
434,99033,882
435,99032,826
436,99118,811
437,98587,810
438,98134,808
439,99139,806
440,98836,796
441,98355,792
441,98943,792
443,99180,791
443,99130,791
445,99040,778
446,99126,765
447,98923,760
448,99321,736
449,99167,732
450,98649,726
451,98941,703
452,98336,693
453,98814,690
454,98279,689
455,98542,669
456,99125,647
456,98829,647
458,98323,644
459,99143,640
460,99341,639
461,99030,633
461,99157,633
463,98644,628
464,99129,625
465,98396,620
466,98585,610
467,98619,609
468,98535,598
469,98556,592
470,99102,580
471,99158,579
472,98220,578
473,98438,576
474,99134,572
475,98613,560
476,99113,559
477,98530,551
477,98068,551
479,98925,547
480,99103,543
481,98590,539
482,98533,524
483,99117,516
484,99179,500
485,98283,499
486,99140,494
487,98673,489
488,99258,486
489,98830,482
490,98361,469
491,98385,462
492,98940,445
493,99153,424
494,98538,417
495,98643,414
496,99137,413
497,99135,406
498,98581,402
499,99008,401
500,98280,394
501,99401,386
502,99322,380
503,98235,368
504,98614,364
505,98555,350
506,98827,339
507,99346,337
508,98350,336
509,98256,328
510,99371,314
511,98946,310
512,98628,306
513,98565,303
514,98566,302
515,98305,298
516,99128,291
517,98834,278
518,99018,277
519,99121,272
520,98845,270
520,98243,270
520,98345,270
523,98255,262
524,99124,258
525,98860,257
526,99150,256
527,98288,254
528,99356,252
529,98164,250
529,98267,250
531,98552,240
532,98527,237
533,98647,236
534,98381,235
535,99034,231
536,98621,228
537,99176,207
538,98526,206
539,98224,203
540,99149,197
541,98263,196
542,98819,190
543,98286,188
544,99039,181
545,98582,177
546,99329,175
547,99017,167
548,99335,164
549,99147,161
549,98824,161
551,99359,159
552,99151,158
553,98832,155
554,98833,149
555,99152,148
556,98505,145
557,99345,140
558,98539,136
559,99131,132
560,98817,131
561,98602,126
562,98583,120
562,98811,120
564,98616,117
564,98575,117
566,98853,116
567,98641,114
568,98222,108
569,98939,105
570,98560,98
571,99160,88
572,99333,81
573,98859,78
574,98571,77
575,98364,67
576,98297,59
577,98544,55
578,98558,51
579,98670,48
580,99363,46
581,98238,45
582,98562,43
583,99146,42
583,98623,42
585,99154,41
586,99174,33
587,99014,31
588,98950,29
589,99105,27
590,98330,22
591,99136,21
592,98852,20
593,98353,17
594,99144,15